filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	DISEASE	77	93	toxických návyků	
casos_clinicos_cardiologia508	DISEASE	106	116	hypertenze	
casos_clinicos_cardiologia508	DISEASE	119	131	dyslipidémie	
casos_clinicos_cardiologia508	DISEASE	137	154	diabetes mellitus	
casos_clinicos_cardiologia508	DISEASE	156	178	Zlomenina 5. metakarpu	
casos_clinicos_cardiologia508	DISEASE	180	208	Reaktivní depresivní syndrom	
casos_clinicos_cardiologia508	DISEASE	235	242	NSTEACS	NSTEMI, nonST ACS
casos_clinicos_cardiologia508	DISEASE	247	263	koronárních lézí	
casos_clinicos_cardiologia508	DISEASE	311	325	fibrilace síní	
casos_clinicos_cardiologia508	DISEASE	773	799	tachykardie se širokým QRS	
casos_clinicos_cardiologia508	DISEASE	1452	1455	DVT	
casos_clinicos_cardiologia508	DISEASE	1492	1518	tachykardie se širokým QRS	
casos_clinicos_cardiologia508	DISEASE	1549	1552	BRD	
casos_clinicos_cardiologia508	DISEASE	2765	2784	LA mírně dilatovaná	
casos_clinicos_cardiologia508	DISEASE	2940	2963	perikardiálního výpotku	
casos_clinicos_cardiologia508	DISEASE	3051	3070	akutní myokarditida	
casos_clinicos_cardiologia508	DISEASE	3078	3084	edémem	
casos_clinicos_cardiologia508	DISEASE	3407	3437	Středně dilatovaná levá komora	
casos_clinicos_cardiologia508	DISEASE	3197	3205	fibrózou	
casos_clinicos_cardiologia508	DISEASE	3542	3550	Mírná AI	?
casos_clinicos_cardiologia508	DISEASE	3619	3634	akcesorní dráhy	
casos_clinicos_cardiologia508	DISEASE	3640	3660	dvojité uzlové dráhy	
casos_clinicos_cardiologia508	DISEASE	3696	3712	komorové arytmie	
casos_clinicos_cardiologia508	DISEASE	3781	3788	arytmií	
casos_clinicos_cardiologia508	DISEASE	3836	3850	edému myokardu	
casos_clinicos_cardiologia508	DISEASE	3872	3891	akutní myokarditidu	
casos_clinicos_cardiologia508	DISEASE	3925	3932	arytmií	
casos_clinicos_cardiologia508	DISEASE	4362	4389	Trvalá komorová tachykardie	
casos_clinicos_cardiologia508	DISEASE	4398	4417	akutní myokarditidy	
casos_clinicos_cardiologia491	DISEASE	723	743	mitrální regurgitaci	
casos_clinicos_cardiologia491	DISEASE	588	609	sinusovou tachykardii	
casos_clinicos_cardiologia491	DISEASE	588	609	sinusovou tachykardii	
casos_clinicos_cardiologia491	DISEASE	653	674	rozšíření levé komory	dilatace levé komory
casos_clinicos_cardiologia491	DISEASE	723	743	mitrální regurgitaci	
casos_clinicos_cardiologia491	DISEASE	745	747	MR	
casos_clinicos_cardiologia491	DISEASE	922	947	dilatovanou levou komorou	
casos_clinicos_cardiologia491	DISEASE	1049	1059	hypokinéze	
casos_clinicos_cardiologia491	DISEASE	1135	1165	Levá síň byla velmi dilatovaná	
casos_clinicos_cardiologia491	DISEASE	1169	1198	vyklenutím mezisíňového septa	
casos_clinicos_cardiologia491	DISEASE	1221	1239	levopravým zkratem	
casos_clinicos_cardiologia491	DISEASE	1284	1286	MR	MR = mitrální regurgitace
casos_clinicos_cardiologia491	DISEASE	1360	1383	retrakce zadního lístku	retrakce zadního cípu
casos_clinicos_cardiologia491	DISEASE	1298	1337	nedostatečné koaptace mitrálního lístku	nedostatečná koaptace cípu mitrální chlopně
casos_clinicos_cardiologia491	DISEASE	1518	1531	fibroelastóze	
casos_clinicos_cardiologia491	DISEASE	2029	2035	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	2106	2135	Bland-White-Garlandův syndrom	
casos_clinicos_cardiologia491	DISEASE	2505	2544	výstup levé hlavní koronární tepny z PA	odstup levé koronární tepny z plicnice
casos_clinicos_cardiologia491	DISEASE	2827	2852	dilatace mitrálního anulu	
casos_clinicos_cardiologia491	DISEASE	2974	2976	MR	mitrální regurgitace
casos_clinicos_cardiologia491	DISEASE	3351	3353	MR	mitrální regurgitace
casos_clinicos_cardiologia491	DISEASE	3439	3446	stenóza	
casos_clinicos_cardiologia491	DISEASE	3579	3590	gradient PA	gradient v plicnici
casos_clinicos_cardiologia491	DISEASE	3602	3608	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	3610	3654	anomální levá koronární tepna z plicní tepny	
casos_clinicos_cardiologia491	DISEASE	3660	3689	Bland-White-Garlandův syndrom	
casos_clinicos_cardiologia491	DISEASE	3709	3730	mitrální insuficience	
casos_clinicos_cardiologia17	DISEASE	774	811	postižení mitrální a aortální chlopně	
casos_clinicos_cardiologia17	DISEASE	829	873	vegetacemi na předním listě mitrální chlopně	vegetacemi na předním cípu mitrální chlopně
casos_clinicos_cardiologia17	DISEASE	928	940	aneuryzmatem	
casos_clinicos_cardiologia17	DISEASE	984	995	regurgitací	
casos_clinicos_cardiologia17	DISEASE	1042	1050	vegetace	
casos_clinicos_cardiologia17	DISEASE	1103	1114	regurgitací	
casos_clinicos_cardiologia17	DISEASE	1142	1180	perforací zadního semilunárního lístku	perforace zadního cípu
casos_clinicos_cardiologia17	DISEASE	1298	1312	osteomyelitidu	
casos_clinicos_cardiologia558	DISEASE	3064	3067	DM2	
casos_clinicos_cardiologia558	DISEASE	1044	1061	Centrální obezita	
casos_clinicos_cardiologia558	DISEASE	2188	2214	trikuspidální insuficience	
casos_clinicos_cardiologia558	DISEASE	2266	2287	perikardiální výpotek	
casos_clinicos_cardiologia558	DISEASE	5267	5303	Chronická ischemická choroba srdeční	
casos_clinicos_cardiologia558	DISEASE	5462	5497	familiární kombinovaná dyslipidémie	
casos_clinicos_cardiologia558	DISEASE	5519	5544	diabetes mellitus 2. typu	
casos_clinicos_cardiologia558	DISEASE	1996	2008	valvulopatie	
casos_clinicos_cardiologia558	DISEASE	2107	2119	valvulopatie	
casos_clinicos_cardiologia558	DISEASE	1407	1428	bloku pravého raménka	
casos_clinicos_cardiologia558	DISEASE	1733	1756	dilatovaná. Levá komora	
casos_clinicos_cardiologia558	DISEASE	5144	5150	kouřit	
casos_clinicos_cardiologia558	DISEASE	4542	4547	kouří	
casos_clinicos_cardiologia558	DISEASE	4281	4288	kouření	
casos_clinicos_cardiologia558	DISEASE	5000	5007	kouření	
casos_clinicos_cardiologia558	DISEASE	1781	1813	těžkou koncentrickou hypertrofií	
casos_clinicos_cardiologia558	DISEASE	2979	3003	třícípou koronární nemoc	nemoc tří tepen
casos_clinicos_cardiologia558	DISEASE	74	88	lékové alergie	
casos_clinicos_cardiologia558	DISEASE	90	102	Bývalý kuřák	
casos_clinicos_cardiologia558	DISEASE	156	166	hypertenze	
