filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SINTOMA	376	404	Función sistólica conservada	
casos_clinicos_cardiologia508	SINTOMA	636	659	dolor torácico opresivo	
casos_clinicos_cardiologia508	SINTOMA	662	675	palpitaciones	
casos_clinicos_cardiologia508	SINTOMA	821	853	taquicardia de QRS ancho rítmica	
casos_clinicos_cardiologia508	SINTOMA	935	948	ritmo sinusal	
casos_clinicos_cardiologia508	SINTOMA	1141	1151	Consciente	
casos_clinicos_cardiologia508	SINTOMA	1153	1162	orientado	
casos_clinicos_cardiologia508	SINTOMA	1164	1178	normocoloreado	
casos_clinicos_cardiologia508	SINTOMA	1181	1195	normohidratado	
casos_clinicos_cardiologia508	SINTOMA	1197	1205	Eupneico	
casos_clinicos_cardiologia508	SINTOMA	1210	1231	ingurgitación yugular	
casos_clinicos_cardiologia508	SINTOMA	1256	1272	normoventilación	
casos_clinicos_cardiologia508	SINTOMA	1278	1298	ruidos sobreañadidos	
casos_clinicos_cardiologia508	SINTOMA	1323	1337	tonos rítmicos	
casos_clinicos_cardiologia508	SINTOMA	1339	1352	taquicárdicos	
casos_clinicos_cardiologia508	SINTOMA	1354	1409	Abdomen blando y depresible, no doloroso a la palpación	
casos_clinicos_cardiologia508	SINTOMA	1425	1446	irritación peritoneal	
casos_clinicos_cardiologia508	SINTOMA	1448	1472	Peristaltismo conservado	
casos_clinicos_cardiologia508	SINTOMA	1749	1762	ritmo sinusal	
casos_clinicos_cardiologia508	SINTOMA	1773	1785	QRS estrecho	
casos_clinicos_cardiologia508	SINTOMA	1791	1824	alteraciones de la repolarización	
casos_clinicos_cardiologia508	SINTOMA	1826	1866	Radiografía de tórax: silueta conservada	
casos_clinicos_cardiologia508	SINTOMA	1871	1889	signos congestivos	
casos_clinicos_cardiologia508	SINTOMA	2702	2737	Función sistólica global conservada	
casos_clinicos_cardiologia508	SINTOMA	3107	3128	masas intracavitarias	
casos_clinicos_cardiologia508	SINTOMA	3570	3594	función sistólica normal	
casos_clinicos_cardiologia508	SINTOMA	3607	3624	Función VD normal	
casos_clinicos_cardiologia508	SINTOMA	3626	3648	Aurículas no dilatadas	
casos_clinicos_cardiologia508	SINTOMA	3659	3715	Estudio electrofisiológico: sin hallazgos significativos	
casos_clinicos_cardiologia508	SINTOMA	4266	4285	Tolera deambulación	
casos_clinicos_cardiologia508	SINTOMA	4432	4444	asintomático	
casos_clinicos_cardiologia508	SINTOMA	2999	3024	VM y VAo sin alteraciones	
casos_clinicos_cardiologia508	SINTOMA	2965	2997	Raíz aórtica de dimensión normal	
casos_clinicos_cardiologia508	SINTOMA	2936	2963	Cavidades derechas normales	
casos_clinicos_cardiologia508	SINTOMA	1474	1489	EEII: no edemas	
casos_clinicos_cardiologia508	SINTOMA	372	374	RS	
casos_clinicos_cardiologia508	SINTOMA	2584	2631	VI de dimensión en límite alto de la normalidad	
casos_clinicos_cardiologia508	SINTOMA	2865	2885	elevación de la TDVI	
casos_clinicos_cardiologia491	SINTOMA	352	376	fatiga durante las tomas	
casos_clinicos_cardiologia491	SINTOMA	456	464	cianosis	
casos_clinicos_cardiologia491	SINTOMA	468	487	tiraje respiratorio	
casos_clinicos_cardiologia491	SINTOMA	493	531	pulsos periféricos estaban conservados	
casos_clinicos_cardiologia491	SINTOMA	565	580	soplo sistólico	
casos_clinicos_cardiologia491	SINTOMA	1085	1148	fracción de eyección del ventrículo izquierdo (FEVI) conservada	
casos_clinicos_cardiologia491	SINTOMA	668	687	taquicardia sinusal	
casos_clinicos_cardiologia491	SINTOMA	203	208	soplo	
casos_clinicos_cardiologia491	SINTOMA	1165	1186	hipoquinesia inferior	
casos_clinicos_cardiologia491	SINTOMA	1311	1374	abombamiento del septo interauricular hacia la aurícula derecha	
