filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	693	719	dolore toracico opprimente	
casos_clinicos_cardiologia508	SYMPTOM	722	734	palpitazioni	
casos_clinicos_cardiologia508	SYMPTOM	1851	1865	ritmo sinusale	
casos_clinicos_cardiologia508	SYMPTOM	1272	1285	normoidratato	
casos_clinicos_cardiologia508	SYMPTOM	1347	1364	normoventilazione	
casos_clinicos_cardiologia508	SYMPTOM	1410	1422	toni ritmici	
casos_clinicos_cardiologia508	SYMPTOM	1437	1495	Addome morbido e depressibile, non dolente alla palpazione	
casos_clinicos_cardiologia508	SYMPTOM	1512	1535	irritazione peritoneale	
casos_clinicos_cardiologia508	SYMPTOM	1537	1558	Peristalsi conservata	
casos_clinicos_cardiologia508	SYMPTOM	1876	1887	QRS stretto	
casos_clinicos_cardiologia508	SYMPTOM	1927	1972	Radiografia del torace: silhouette conservata	
casos_clinicos_cardiologia508	SYMPTOM	2852	2889	Funzione sistolica globale conservata	
casos_clinicos_cardiologia508	SYMPTOM	3705	3731	funzione sistolica normale	
casos_clinicos_cardiologia508	SYMPTOM	3742	3761	Funzione RV normale	
casos_clinicos_cardiologia508	SYMPTOM	3763	3780	Atri non dilatati	
casos_clinicos_cardiologia508	SYMPTOM	3792	3849	Studio elettrofisiologico: nessun risultato significativo	
casos_clinicos_cardiologia508	SYMPTOM	3114	3150	Radice aortica di dimensioni normali	
casos_clinicos_cardiologia508	SYMPTOM	1754	1756	rS	
casos_clinicos_cardiologia508	SYMPTOM	1303	1320	ingorgo giugulare	turgore giugulare
casos_clinicos_cardiologia508	SYMPTOM	1424	1435	tachicardia	
casos_clinicos_cardiologia508	SYMPTOM	1583	1588	edema	
casos_clinicos_cardiologia491	SYMPTOM	391	423	affaticamento durante le poppate	
casos_clinicos_cardiologia491	SYMPTOM	508	515	cianosi	
casos_clinicos_cardiologia491	SYMPTOM	624	640	soffio sistolico	
casos_clinicos_cardiologia491	SYMPTOM	1165	1225	frazione di eiezione ventricolare sinistra (LVEF) conservata	
casos_clinicos_cardiologia491	SYMPTOM	727	747	tachicardia sinusale	
casos_clinicos_cardiologia491	SYMPTOM	1247	1267	ipocinesia inferiore	
casos_clinicos_cardiologia491	SYMPTOM	998	1011	situs solitus	
casos_clinicos_cardiologia491	SYMPTOM	1013	1023	levocardia	
casos_clinicos_cardiologia17	SYMPTOM	105	111	febbre	
casos_clinicos_cardiologia17	SYMPTOM	121	146	forte dolore alla schiena	
casos_clinicos_cardiologia17	SYMPTOM	705	718	condensazione	consolidamento
casos_clinicos_cardiologia17	SYMPTOM	97	103	vomito	
casos_clinicos_cardiologia17	SYMPTOM	191	197	soffio	
casos_clinicos_cardiologia17	SYMPTOM	322	346	Segno di Lasegue e Psoas	
casos_clinicos_cardiologia17	SYMPTOM	358	372	segno di Dandy	
casos_clinicos_cardiologia558	SYMPTOM	920	945	Buone condizioni generali	
casos_clinicos_cardiologia558	SYMPTOM	971	988	Eupneico a riposo	Eupnoico a riposo
casos_clinicos_cardiologia558	SYMPTOM	1196	1208	toni ritmici	
casos_clinicos_cardiologia558	SYMPTOM	1265	1280	rumori aggiunti	
casos_clinicos_cardiologia558	SYMPTOM	1304	1342	arti inferiori con pulsazioni presenti	
casos_clinicos_cardiologia558	SYMPTOM	1386	1400	ritmo sinusale	
casos_clinicos_cardiologia558	SYMPTOM	1425	1435	PR normale	
casos_clinicos_cardiologia558	SYMPTOM	1883	1906	Ipocinesia inferobasale	
casos_clinicos_cardiologia558	SYMPTOM	2144	2178	Valvola mitrale di aspetto normale	
casos_clinicos_cardiologia558	SYMPTOM	2241	2280	funzione ventricolare destra conservata	
casos_clinicos_cardiologia558	SYMPTOM	2715	2732	emogramma normale	emocromo normale
casos_clinicos_cardiologia558	SYMPTOM	2801	2813	ioni normali	
casos_clinicos_cardiologia558	SYMPTOM	5489	5505	senso di sazietà	
casos_clinicos_cardiologia558	SYMPTOM	5694	5706	asintomatico	
casos_clinicos_cardiologia558	SYMPTOM	990	1009	tollera il decubito	
casos_clinicos_cardiologia558	SYMPTOM	1482	1507	onda Q in DII, DIII e avF	
casos_clinicos_cardiologia558	SYMPTOM	1784	1811	atrio sinistro non dilatato	
casos_clinicos_cardiologia558	SYMPTOM	1813	1845	Ventricolo sinistro non dilatato	
casos_clinicos_cardiologia558	SYMPTOM	2096	2142	Radice aortica e aorta ascendente non dilatate	
casos_clinicos_cardiologia558	SYMPTOM	1967	2035	Flusso di riempimento mitralico con pattern di rilassamento alterato	
casos_clinicos_cardiologia558	SYMPTOM	1411	1423	asse normale	
casos_clinicos_cardiologia301	SYMPTOM	170	203	alterazioni elettrocardiografiche	
casos_clinicos_cardiologia301	SYMPTOM	2057	2101	elevazione dei marcatori di danno miocardico	
casos_clinicos_cardiologia301	SYMPTOM	2681	2694	normoidratato	
casos_clinicos_cardiologia301	SYMPTOM	2708	2725	Eupneico a riposo	Eupnoico a riposo
casos_clinicos_cardiologia301	SYMPTOM	2805	2827	suoni cardiaci ritmici	
