filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	MEDICATION	418	430	atorvastatin	
casos_clinicos_cardiologia508	MEDICATION	438	447	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	454	464	bisoprolol	
casos_clinicos_cardiologia508	MEDICATION	473	484	pantoprazol	
casos_clinicos_cardiologia508	MEDICATION	492	497	adiro	
casos_clinicos_cardiologia508	MEDICATION	506	513	orfidal	
casos_clinicos_cardiologia508	MEDICATION	520	532	escitalopram	
casos_clinicos_cardiologia491	MEDICATION	286	295	vitamin D	
casos_clinicos_cardiologia558	MEDICATION	312	329	acetylsalicylsyra	
casos_clinicos_cardiologia558	MEDICATION	360	370	bisoprolol	
casos_clinicos_cardiologia558	MEDICATION	395	407	atorvastatin	
casos_clinicos_cardiologia558	MEDICATION	431	439	ramipril	
casos_clinicos_cardiologia558	MEDICATION	462	471	omeprazol	
casos_clinicos_cardiologia558	MEDICATION	495	517	metformin+empaglifozin	
casos_clinicos_cardiologia558	MEDICATION	549	561	lormetazepam	
casos_clinicos_cardiologia558	MEDICATION	3925	3937	rosuvastatin	
casos_clinicos_cardiologia558	MEDICATION	4061	4071	semaglutid	
casos_clinicos_cardiologia558	MEDICATION	4161	4171	semaglutid	
casos_clinicos_cardiologia558	MEDICATION	4826	4836	semaglutid	
casos_clinicos_cardiologia558	MEDICATION	5283	5290	Champix	
casos_clinicos_cardiologia558	MEDICATION	3950	3958	ezetimib	
casos_clinicos_cardiologia558	MEDICATION	5271	5281	vareniklin	
casos_clinicos_cardiologia558	MEDICATION	331	334	ASA	
casos_clinicos_cardiologia301	MEDICATION	2190	2204	natriumheparin	
casos_clinicos_cardiologia301	MEDICATION	8609	8623	natriumheparin	
casos_clinicos_cardiologia301	MEDICATION	8924	8938	natriumheparin	
casos_clinicos_cardiologia301	MEDICATION	9353	9365	acenokumarol	
casos_clinicos_cardiologia86	MEDICATION	228	236	losartan	
casos_clinicos_cardiologia86	MEDICATION	2155	2160	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2719	2724	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2176	2188	atorvastatin	
casos_clinicos_cardiologia86	MEDICATION	2692	2699	Sintrom	Waran
casos_clinicos_cardiologia86	MEDICATION	177	218	insulin Lantus 24 IU/24h och snabbinsulin	
