filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	53	61	Anamnéza	
casos_clinicos_cardiologia508	PROCEDURE	0	8	ANAMNÉZA	
casos_clinicos_cardiologia508	PROCEDURE	32	51	FYZIKÁLNÍ VYŠETŘENÍ	
casos_clinicos_cardiologia508	PROCEDURE	268	282	koronarografii	
casos_clinicos_cardiologia508	PROCEDURE	882	905	elektrickou kardioverzi	
casos_clinicos_cardiologia508	PROCEDURE	959	968	vyšetření	
casos_clinicos_cardiologia508	PROCEDURE	979	998	Fyzikální vyšetření	
casos_clinicos_cardiologia508	PROCEDURE	1198	1213	Auskultace plic	
casos_clinicos_cardiologia508	PROCEDURE	1254	1270	Auskultace srdce	
casos_clinicos_cardiologia508	PROCEDURE	1475	1478	EKG	
casos_clinicos_cardiologia508	PROCEDURE	1667	1670	EKG	
casos_clinicos_cardiologia508	PROCEDURE	1762	1765	RTG	
casos_clinicos_cardiologia508	PROCEDURE	1818	1821	RTG	
casos_clinicos_cardiologia508	PROCEDURE	1946	1949	CBC	Laboratorní vyšetření
casos_clinicos_cardiologia508	PROCEDURE	1951	1960	Biochemie	
casos_clinicos_cardiologia508	PROCEDURE	2225	2242	Kardiální markery	
casos_clinicos_cardiologia508	PROCEDURE	2287	2306	Funkce štítné žlázy	
casos_clinicos_cardiologia508	PROCEDURE	2340	2343	CBC	
casos_clinicos_cardiologia508	PROCEDURE	2484	2498	Echokardiogram	
casos_clinicos_cardiologia508	PROCEDURE	3017	3043	Magnetická rezonance srdce	
casos_clinicos_cardiologia508	PROCEDURE	3045	3048	CMR	
casos_clinicos_cardiologia508	PROCEDURE	3552	3581	Elektrofyziologické vyšetření	
casos_clinicos_cardiologia508	PROCEDURE	3662	3684	Programovaná stimulace	
casos_clinicos_cardiologia508	PROCEDURE	3805	3808	CMR	
casos_clinicos_cardiologia508	PROCEDURE	3975	3978	ICD	
casos_clinicos_cardiologia508	PROCEDURE	3991	3994	ICD	
casos_clinicos_cardiologia491	PROCEDURE	561	578	Elektrokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	32	51	FYZIKÁLNÍ VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	0	8	ANAMNÉZA	
casos_clinicos_cardiologia491	PROCEDURE	825	828	TTE	
casos_clinicos_cardiologia491	PROCEDURE	831	834	TTE	
casos_clinicos_cardiologia491	PROCEDURE	551	560	VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	73	81	anamnézy	
casos_clinicos_cardiologia491	PROCEDURE	689	703	echokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	377	386	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	0	8	ANAMNÉZA	
casos_clinicos_cardiologia491	PROCEDURE	10	29	AKTUÁLNÍ ONEMOCNĚNÍ	nynější onemocnění
casos_clinicos_cardiologia491	PROCEDURE	32	51	FYZIKÁLNÍ VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	73	81	anamnézy	
casos_clinicos_cardiologia491	PROCEDURE	377	386	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	551	560	VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	561	578	Elektrokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	689	703	echokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	796	823	echokardiogramové vyšetření	echokardiografické vyšetření
casos_clinicos_cardiologia491	PROCEDURE	825	828	TTE	
casos_clinicos_cardiologia491	PROCEDURE	831	834	TTE	
casos_clinicos_cardiologia491	PROCEDURE	1537	1556	studiu plicní tepny	vyšetření plicnice
casos_clinicos_cardiologia491	PROCEDURE	1603	1612	dopplerem	
casos_clinicos_cardiologia491	PROCEDURE	1798	1801	TTE	
casos_clinicos_cardiologia491	PROCEDURE	1882	1894	koronární CT	
casos_clinicos_cardiologia491	PROCEDURE	1895	1904	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	1906	1918	Koronární CT	
casos_clinicos_cardiologia491	PROCEDURE	2232	2254	koronární reimplantace	
casos_clinicos_cardiologia491	PROCEDURE	2265	2289	operace mitrální chlopně	
casos_clinicos_cardiologia491	PROCEDURE	2372	2375	TTE	
casos_clinicos_cardiologia491	PROCEDURE	2421	2443	koronární reimplantaci	
casos_clinicos_cardiologia491	PROCEDURE	2667	2684	mitrální plastika	
casos_clinicos_cardiologia491	PROCEDURE	2445	2455	Intervence	
casos_clinicos_cardiologia491	PROCEDURE	2476	2487	sternotomii	
casos_clinicos_cardiologia491	PROCEDURE	2561	2568	resekce	
casos_clinicos_cardiologia491	PROCEDURE	2599	2610	anastomózou	
casos_clinicos_cardiologia491	PROCEDURE	2644	2653	uzávěr PA	uzávěr plicnice
casos_clinicos_cardiologia491	PROCEDURE	2945	2948	TTE	
casos_clinicos_cardiologia491	PROCEDURE	3107	3116	sledování	
casos_clinicos_cardiologia491	PROCEDURE	3150	3153	TTE	
casos_clinicos_cardiologia491	PROCEDURE	3154	3163	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	3389	3405	mitrální plikaci	
casos_clinicos_cardiologia491	PROCEDURE	3732	3754	Koronární reimplantace	
casos_clinicos_cardiologia491	PROCEDURE	3757	3774	mitrální plastika	
casos_clinicos_cardiologia17	PROCEDURE	138	156	Klinické vyšetření	
casos_clinicos_cardiologia17	PROCEDURE	578	604	Rentgenový snímek hrudníku	
casos_clinicos_cardiologia17	PROCEDURE	653	684	elektrokardiografické sledování	elektrokardiografické vyšetření; EKG
casos_clinicos_cardiologia17	PROCEDURE	731	764	Transezofageální echokardiografie	
casos_clinicos_cardiologia17	PROCEDURE	1185	1203	krevních kulturách	
casos_clinicos_cardiologia17	PROCEDURE	1267	1287	magnetická rezonance	
casos_clinicos_cardiologia17	PROCEDURE	1333	1350	operačním zákroku	
casos_clinicos_cardiologia17	PROCEDURE	1403	1447	náhrada aortální a mitrální dvojcípé chlopně	
casos_clinicos_cardiologia17	PROCEDURE	1450	1480	implantací mechanických protéz	
casos_clinicos_cardiologia558	PROCEDURE	867	886	Fyzikální vyšetření	
casos_clinicos_cardiologia558	PROCEDURE	2917	2931	koronarografie	
casos_clinicos_cardiologia558	PROCEDURE	1132	1159	Kardiorespirační auskultace	poslech srdce a plic
casos_clinicos_cardiologia558	PROCEDURE	1314	1331	Elektrokardiogram	
casos_clinicos_cardiologia558	PROCEDURE	1557	1572	Lipidový profil	
casos_clinicos_cardiologia558	PROCEDURE	2651	2666	Lipidový profil	
casos_clinicos_cardiologia558	PROCEDURE	2289	2308	Srdeční katetrizace	
casos_clinicos_cardiologia558	PROCEDURE	2560	2568	hemogram	
