filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	355	382	Zachovaná systolická funkce	
casos_clinicos_cardiologia508	SYMPTOM	764	799	rytmická tachykardie se širokým QRS	
casos_clinicos_cardiologia508	SYMPTOM	1687	1702	sinusový rytmus	
casos_clinicos_cardiologia508	SYMPTOM	1127	1141	normální barvy	
casos_clinicos_cardiologia508	SYMPTOM	1179	1196	krční ingurgitace	krční pulzace
casos_clinicos_cardiologia508	SYMPTOM	1215	1233	normální ventilace	
casos_clinicos_cardiologia508	SYMPTOM	1287	1298	tachykardie	
casos_clinicos_cardiologia508	SYMPTOM	1492	1503	tachykardie	
casos_clinicos_cardiologia508	SYMPTOM	1720	1728	úzké QRS	
casos_clinicos_cardiologia508	SYMPTOM	3494	3512	Normální funkce RV	
casos_clinicos_cardiologia508	SYMPTOM	351	353	RS	SR
casos_clinicos_cardiologia508	SYMPTOM	1254	1285	Auskultace srdce: rytmické tóny	Auskultace srdce. akce srdeční pravidelná
casos_clinicos_cardiologia508	SYMPTOM	1300	1351	Břicho měkké a stlačitelné, při palpaci nebolestivé	
casos_clinicos_cardiologia508	SYMPTOM	1162	1171	Eupnoický	
casos_clinicos_cardiologia508	SYMPTOM	2596	2632	Globální systolická funkce zachována	
casos_clinicos_cardiologia508	SYMPTOM	1389	1411	Peristaltika zachována	peristaltika přítomná
casos_clinicos_cardiologia508	SYMPTOM	3514	3540	Předsíně nejsou dilatované	
casos_clinicos_cardiologia508	SYMPTOM	4264	4278	asymptomatická	
casos_clinicos_cardiologia508	SYMPTOM	1430	1439	bez otoků	
casos_clinicos_cardiologia508	SYMPTOM	653	665	bušení srdce	
casos_clinicos_cardiologia508	SYMPTOM	3078	3084	edémem	
casos_clinicos_cardiologia508	SYMPTOM	1241	1252	extra zvuky	vedlejší fenomény
casos_clinicos_cardiologia508	SYMPTOM	1144	1160	normohydratovaný	
casos_clinicos_cardiologia508	SYMPTOM	3454	3481	normální systolickou funkcí	
casos_clinicos_cardiologia508	SYMPTOM	1114	1125	orientovaný	
