filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	MEDICATION	442	454	atorvastatin	
casos_clinicos_cardiologia508	MEDICATION	462	471	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	478	488	bisoprolol	
casos_clinicos_cardiologia508	MEDICATION	497	509	pantoprazole	
casos_clinicos_cardiologia508	MEDICATION	517	522	adiro	
casos_clinicos_cardiologia508	MEDICATION	531	538	orfidal	
casos_clinicos_cardiologia508	MEDICATION	545	557	escitalopram	
casos_clinicos_cardiologia491	MEDICATION	269	278	vitamin D	
casos_clinicos_cardiologia558	MEDICATION	322	342	acetylsalicylic acid	
casos_clinicos_cardiologia558	MEDICATION	368	378	bisoprolol	
casos_clinicos_cardiologia558	MEDICATION	398	410	atorvastatin	
casos_clinicos_cardiologia558	MEDICATION	429	437	ramipril	
casos_clinicos_cardiologia558	MEDICATION	455	465	omeprazole	
casos_clinicos_cardiologia558	MEDICATION	484	506	metformin+empaglifozin	
casos_clinicos_cardiologia558	MEDICATION	533	545	lormetazepam	
casos_clinicos_cardiologia558	MEDICATION	3982	3994	rosuvastatin	
casos_clinicos_cardiologia558	MEDICATION	4099	4110	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	4188	4199	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	4931	4942	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	5368	5375	Champix	
casos_clinicos_cardiologia558	MEDICATION	4007	4016	ezetimibe	
casos_clinicos_cardiologia558	MEDICATION	5355	5366	varenicline	
casos_clinicos_cardiologia558	MEDICATION	344	347	ASA	
casos_clinicos_cardiologia301	MEDICATION	2244	2258	sodium heparin	
casos_clinicos_cardiologia301	MEDICATION	8677	8691	sodium heparin	
casos_clinicos_cardiologia301	MEDICATION	8978	8992	sodium heparin	
casos_clinicos_cardiologia301	MEDICATION	9418	9431	acenocoumarol	
casos_clinicos_cardiologia86	MEDICATION	195	229	Lantus 24 IU/24h and rapid insulin	
casos_clinicos_cardiologia86	MEDICATION	239	247	losartan	
casos_clinicos_cardiologia86	MEDICATION	2211	2216	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2796	2801	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2232	2244	atorvastatin	
casos_clinicos_cardiologia86	MEDICATION	2776	2783	Sintrom	
casos_clinicos_cardiologia176	MEDICATION	1354	1366	atorvastatin	
casos_clinicos_cardiologia176	MEDICATION	1930	1942	atorvastatin	
casos_clinicos_cardiologia176	MEDICATION	5221	5233	atorvastatin	
casos_clinicos_cardiologia176	MEDICATION	1728	1748	acetylsalicylic acid	
