filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	29	49	PHYSICAL EXAMINATION	
casos_clinicos_cardiologia508	PROCEDURE	1037	1057	Physical examination	
casos_clinicos_cardiologia508	PROCEDURE	288	308	coronary angiography	
casos_clinicos_cardiologia508	PROCEDURE	930	954	electrical cardioversion	
casos_clinicos_cardiologia508	PROCEDURE	1235	1257	Pulmonary auscultation	
casos_clinicos_cardiologia508	PROCEDURE	1294	1314	Cardiac auscultation	
casos_clinicos_cardiologia508	PROCEDURE	1531	1534	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1740	1743	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1814	1825	Chest X-ray	
casos_clinicos_cardiologia508	PROCEDURE	1870	1881	Chest X-ray	
casos_clinicos_cardiologia508	PROCEDURE	2329	2345	Thyroid function	
casos_clinicos_cardiologia508	PROCEDURE	2526	2540	Echocardiogram	
casos_clinicos_cardiologia508	PROCEDURE	3579	3605	Electrophysiological study	
casos_clinicos_cardiologia508	PROCEDURE	2274	2289	Cardiac markers	
casos_clinicos_cardiologia508	PROCEDURE	2000	2012	Biochemistry	
casos_clinicos_cardiologia508	PROCEDURE	1995	1998	CBC	
casos_clinicos_cardiologia508	PROCEDURE	2379	2382	CBC	
casos_clinicos_cardiologia508	PROCEDURE	3074	3100	Cardiac magnetic resonance	
casos_clinicos_cardiologia508	PROCEDURE	3102	3105	CMR	
casos_clinicos_cardiologia508	PROCEDURE	3858	3861	CMR	
casos_clinicos_cardiologia508	PROCEDURE	4036	4062	implant a subcutaneous ICD	
casos_clinicos_cardiologia508	PROCEDURE	4068	4115	EMBLEM MRI model subcutaneous ICD was implanted	
casos_clinicos_cardiologia508	PROCEDURE	4300	4312	beta-blocker	
casos_clinicos_cardiologia491	PROCEDURE	637	654	electrocardiogram	
casos_clinicos_cardiologia491	PROCEDURE	2036	2047	coronary CT	
casos_clinicos_cardiologia491	PROCEDURE	2058	2069	coronary CT	
casos_clinicos_cardiologia491	PROCEDURE	2400	2423	coronary reimplantation	
casos_clinicos_cardiologia491	PROCEDURE	2614	2637	coronary reimplantation	
casos_clinicos_cardiologia491	PROCEDURE	2674	2684	sternotomy	
casos_clinicos_cardiologia491	PROCEDURE	2752	2789	Resection of the left coronary button	
casos_clinicos_cardiologia491	PROCEDURE	2795	2851	anastomosis to the posterior wall of the ascending aorta	
