filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	DISEASE	75	93	abitudini tossiche	
casos_clinicos_cardiologia508	DISEASE	130	142	dislipidemia	
casos_clinicos_cardiologia508	DISEASE	155	170	diabete mellito	
casos_clinicos_cardiologia508	DISEASE	172	197	Frattura del 5° metacarpo	
casos_clinicos_cardiologia508	DISEASE	199	227	Sindrome depressiva reattiva	
casos_clinicos_cardiologia508	DISEASE	341	362	fibrillazione atriale	
casos_clinicos_cardiologia508	DISEASE	1600	1603	TVP	
casos_clinicos_cardiologia508	DISEASE	1701	1704	BRD	BBDX
casos_clinicos_cardiologia508	DISEASE	3244	3266	versamento pericardico	
casos_clinicos_cardiologia508	DISEASE	3356	3387	miocardite acuta (LV) con edema	
casos_clinicos_cardiologia508	DISEASE	3946	3966	aritmie ventricolari	
casos_clinicos_cardiologia508	DISEASE	4063	4070	aritmie	
casos_clinicos_cardiologia508	DISEASE	4233	4240	Aritmie	
casos_clinicos_cardiologia508	DISEASE	4128	4144	edema miocardico	
casos_clinicos_cardiologia508	DISEASE	4169	4185	miocardite acuta	
casos_clinicos_cardiologia508	DISEASE	4820	4836	miocardite acuta	
casos_clinicos_cardiologia508	DISEASE	4765	4799	Tachicardia ventricolare sostenuta	
casos_clinicos_cardiologia508	DISEASE	3193	3195	IT	
casos_clinicos_cardiologia508	DISEASE	3644	3686	Ventricolo sinistro moderatamente dilatato	
casos_clinicos_cardiologia508	DISEASE	3782	3790	IA lieve	
casos_clinicos_cardiologia508	DISEASE	273	292	lesioni coronariche	
casos_clinicos_cardiologia508	DISEASE	115	127	ipertensione	
casos_clinicos_cardiologia491	DISEASE	4414	4437	Insufficienza mitralica	
casos_clinicos_cardiologia491	DISEASE	1445	1493	shunt sinistro-destro attraverso il forame ovale	
casos_clinicos_cardiologia491	DISEASE	1799	1812	fibroelastosi	
casos_clinicos_cardiologia491	DISEASE	2403	2409	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	4312	4318	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	2411	2467	Anomalous Left Coronary Artery from the Pulmonary Artery	
casos_clinicos_cardiologia491	DISEASE	4320	4377	Arteria Coronaria Sinistra Anomala dall'Arteria Polmonare	
casos_clinicos_cardiologia491	DISEASE	2482	2513	sindrome di Bland-White-Garland	
casos_clinicos_cardiologia491	DISEASE	4380	4411	Sindrome di Bland-White-Garland	
