filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	DISEASE	107	118	dyslipidemi	
casos_clinicos_cardiologia508	DISEASE	138	155	diabetes mellitus	
casos_clinicos_cardiologia508	DISEASE	157	187	Fraktur på 5:e metakarpalbenet	
casos_clinicos_cardiologia508	DISEASE	189	216	Reaktivt depressivt syndrom	
casos_clinicos_cardiologia508	DISEASE	306	320	förmaksflimmer	
casos_clinicos_cardiologia508	DISEASE	1471	1474	DVT	
casos_clinicos_cardiologia508	DISEASE	1520	1543	takykardi med brett QRS	
casos_clinicos_cardiologia508	DISEASE	1563	1566	BRD	RBBB
casos_clinicos_cardiologia508	DISEASE	3007	3028	perikardiell effusion	
casos_clinicos_cardiologia508	DISEASE	3115	3143	akut myokardit (LV) med ödem	
casos_clinicos_cardiologia508	DISEASE	3767	3788	ventrikulära arytmier	
casos_clinicos_cardiologia508	DISEASE	3887	3895	arytmier	
casos_clinicos_cardiologia508	DISEASE	3971	3985	akut myokardit	
casos_clinicos_cardiologia508	DISEASE	4560	4574	akut myokardit	
casos_clinicos_cardiologia508	DISEASE	4514	4545	Ihållande ventrikulär takykardi	
casos_clinicos_cardiologia508	DISEASE	2956	2958	IT	TI
casos_clinicos_cardiologia508	DISEASE	3463	3497	Måttligt dilaterad vänster kammare	
casos_clinicos_cardiologia508	DISEASE	3602	3612	Lindrig AI	Lindrig aortainsuff
casos_clinicos_cardiologia508	DISEASE	241	248	NSTEACS	NSTEMI
casos_clinicos_cardiologia508	DISEASE	93	102	hypertoni	
casos_clinicos_cardiologia508	DISEASE	254	271	koronara lesioner	
casos_clinicos_cardiologia508	DISEASE	3937	3948	myokardödem	
casos_clinicos_cardiologia508	DISEASE	75	88	toxiska vanor	
casos_clinicos_cardiologia508	DISEASE	2810	2828	LA något dilaterad	
casos_clinicos_cardiologia491	DISEASE	3980	4014	Sekundär svår mitralisinsufficiens	
casos_clinicos_cardiologia491	DISEASE	1311	1350	vänster-höger-shunt genom foramen ovale	
casos_clinicos_cardiologia491	DISEASE	1613	1625	fibroelastos	
casos_clinicos_cardiologia491	DISEASE	2167	2173	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	3893	3899	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	2175	2231	Anomalous Left Coronary Artery from the Pulmonary Artery	
casos_clinicos_cardiologia491	DISEASE	828	830	MR	
casos_clinicos_cardiologia491	DISEASE	1374	1376	MR	
casos_clinicos_cardiologia491	DISEASE	3220	3222	MR	
casos_clinicos_cardiologia491	DISEASE	3632	3659	MR klassificerades som mild	
casos_clinicos_cardiologia491	DISEASE	997	1022	dilaterad vänster kammare	
casos_clinicos_cardiologia491	DISEASE	805	826	mitralisregurgitation	Mitralisinsufficiens
casos_clinicos_cardiologia491	DISEASE	728	751	vänsterkammarförstoring	
casos_clinicos_cardiologia491	DISEASE	1207	1244	vänstra förmaket var mycket dilaterat	
casos_clinicos_cardiologia491	DISEASE	1948	1981	anomalt koronart ursprung från PA	
casos_clinicos_cardiologia491	DISEASE	2095	2138	vänstra huvudkransartären som utgår från PA	
casos_clinicos_cardiologia491	DISEASE	2246	2274	Bland-White-Garlands syndrom	
casos_clinicos_cardiologia491	DISEASE	2461	2495	skador som fanns i mitralisklaffen	
casos_clinicos_cardiologia491	DISEASE	2658	2699	vänstra huvudkransartären gick ut från PA	
casos_clinicos_cardiologia491	DISEASE	3028	3058	dilatationen av mitral annulus	annulus mitralis
casos_clinicos_cardiologia491	DISEASE	3901	3943	anomalt vänster kranskärl från lungartären	
casos_clinicos_cardiologia491	DISEASE	3950	3977	Bland-White-Garland-syndrom	
casos_clinicos_cardiologia17	DISEASE	918	950	1,6 x 1,3 cm perforerad aneurysm	
casos_clinicos_cardiologia17	DISEASE	821	868	vegetationer på mitralklaffens främre klaffblad	
casos_clinicos_cardiologia17	DISEASE	964	982	svår regurgitation	
casos_clinicos_cardiologia17	DISEASE	986	1053	aortaklaffen hittades också flera vegetationer i de tre klaffbladen	
casos_clinicos_cardiologia17	DISEASE	1136	1183	perforation av det bakre semilunära klaffbladet	
casos_clinicos_cardiologia17	DISEASE	1274	1306	osteomyelit i ryggraden på L4-L5	
casos_clinicos_cardiologia558	DISEASE	69	88	läkemedelsallergier	
casos_clinicos_cardiologia558	DISEASE	163	174	dyslipidemi	
casos_clinicos_cardiologia558	DISEASE	179	182	DM2	
casos_clinicos_cardiologia558	DISEASE	3080	3083	DM2	
