filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	29	48	FYSISK UNDERSÖKNING	
casos_clinicos_cardiologia508	PROCEDURE	984	1003	Fysisk undersökning	
casos_clinicos_cardiologia508	PROCEDURE	274	291	koronarangiografi	
casos_clinicos_cardiologia508	PROCEDURE	886	909	elektrisk kardioversion	
casos_clinicos_cardiologia508	PROCEDURE	1499	1502	EKG	
casos_clinicos_cardiologia508	PROCEDURE	1712	1715	EKG	
casos_clinicos_cardiologia508	PROCEDURE	1782	1804	Röntgen av bröstkorgen	
casos_clinicos_cardiologia508	PROCEDURE	2361	2369	Blodbild	
casos_clinicos_cardiologia508	PROCEDURE	2514	2527	Ekokardiogram	
casos_clinicos_cardiologia508	PROCEDURE	3614	3645	Elektrofysiologisk undersökning	
casos_clinicos_cardiologia508	PROCEDURE	2257	2270	Hjärtmarkörer	
casos_clinicos_cardiologia508	PROCEDURE	1995	2002	Biokemi	
casos_clinicos_cardiologia508	PROCEDURE	1983	1993	Blodstatus	
casos_clinicos_cardiologia508	PROCEDURE	3109	3112	CMR	
casos_clinicos_cardiologia508	PROCEDURE	3897	3900	CMR	
casos_clinicos_cardiologia508	PROCEDURE	4056	4082	implantera en subkutan ICD	
casos_clinicos_cardiologia508	PROCEDURE	4088	4138	subkutana ICD:n av EMBLEM MRI-modell implanterades	
casos_clinicos_cardiologia508	PROCEDURE	2308	2327	Sköldkörtelfunktion	
casos_clinicos_cardiologia508	PROCEDURE	1851	1864	Thoraxröntgen	
casos_clinicos_cardiologia508	PROCEDURE	4339	4374	betablockerare och ARAII-behandling	betablockerare och ARB-behandling
casos_clinicos_cardiologia508	PROCEDURE	1198	1220	Pulmonell auskultation	Lungausk
casos_clinicos_cardiologia508	PROCEDURE	1259	1276	Hjärtauskultation	
casos_clinicos_cardiologia508	PROCEDURE	3080	3107	Magnetisk resonanstomografi	Hjärt-MR
casos_clinicos_cardiologia491	PROCEDURE	2620	2630	sternotomi	
casos_clinicos_cardiologia491	PROCEDURE	4051	4064	mitralplastik	
casos_clinicos_cardiologia491	PROCEDURE	1702	1713	färgdoppler	
casos_clinicos_cardiologia491	PROCEDURE	29	48	FYSISK UNDERSÖKNING	
casos_clinicos_cardiologia491	PROCEDURE	2009	2020	CT-skanning	DT skalle
casos_clinicos_cardiologia491	PROCEDURE	648	668	Elektrokardiogrammet	
casos_clinicos_cardiologia491	PROCEDURE	1633	1655	studien av lungartären	Lungausk
casos_clinicos_cardiologia491	PROCEDURE	2800	2818	tillslutning av PA	Lungausk
casos_clinicos_cardiologia491	PROCEDURE	883	886	TTE	
casos_clinicos_cardiologia491	PROCEDURE	898	901	TTE	
casos_clinicos_cardiologia491	PROCEDURE	1909	1912	TTE	
casos_clinicos_cardiologia491	PROCEDURE	2519	2522	TTE	
casos_clinicos_cardiologia491	PROCEDURE	3181	3184	TTE	
casos_clinicos_cardiologia491	PROCEDURE	3406	3409	TTE	
casos_clinicos_cardiologia491	PROCEDURE	853	881	transthorakalt ekokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	456	470	undersökningen	
casos_clinicos_cardiologia491	PROCEDURE	769	785	ekokardiogrammet	EKO
casos_clinicos_cardiologia491	PROCEDURE	2022	2050	CT-skanningen av kranskärlen	
casos_clinicos_cardiologia491	PROCEDURE	2377	2399	koronar reimplantation	
casos_clinicos_cardiologia491	PROCEDURE	2404	2441	reparationskirurgi på mitralisklaffen	
casos_clinicos_cardiologia491	PROCEDURE	2573	2595	koronar reimplantation	
casos_clinicos_cardiologia491	PROCEDURE	2597	2606	Ingreppet	
casos_clinicos_cardiologia491	PROCEDURE	2701	2740	Resektion av den vänstra koronarknappen	
casos_clinicos_cardiologia491	PROCEDURE	2745	2795	anastomos till den bakre väggen av aorta ascendens	
casos_clinicos_cardiologia491	PROCEDURE	2846	2989	mitralplastik med suturering av den främre commissuren till en tredjedel av mitralisklaffen och suturering av det bakre klaffbladet pseudo-clef	
casos_clinicos_cardiologia491	PROCEDURE	3708	3725	mitralisplicering	
casos_clinicos_cardiologia491	PROCEDURE	4016	4046	Koronar reimplantationskirurgi	
casos_clinicos_cardiologia17	PROCEDURE	127	147	Klinisk undersökning	
casos_clinicos_cardiologia17	PROCEDURE	586	608	Röntgen av bröstkorgen	
casos_clinicos_cardiologia17	PROCEDURE	729	758	Transesofageal ekokardiografi	
casos_clinicos_cardiologia17	PROCEDURE	1223	1235	blododlingar	
casos_clinicos_cardiologia17	PROCEDURE	663	698	elektrokardiografiska kurvan i vila	
casos_clinicos_cardiologia17	PROCEDURE	1253	1273	MRI av lumbosakralen	MR av lumbosakralregionen
casos_clinicos_cardiologia17	PROCEDURE	1319	1339	kirurgiska ingreppet	
casos_clinicos_cardiologia17	PROCEDURE	1378	1464	aorta- och mitralbivalvulär ersättning utfördes med implantation av mekaniska proteser	
casos_clinicos_cardiologia558	PROCEDURE	29	48	FYSISK UNDERSÖKNING	
casos_clinicos_cardiologia558	PROCEDURE	897	916	Fysisk undersökning	
casos_clinicos_cardiologia558	PROCEDURE	806	834	transthorakal ekokardiografi	
casos_clinicos_cardiologia558	PROCEDURE	877	894	koronarangiografi	
casos_clinicos_cardiologia558	PROCEDURE	2910	2927	koronarangiografi	
casos_clinicos_cardiologia558	PROCEDURE	1127	1159	Kardiorespiratorisk auskultation	
casos_clinicos_cardiologia558	PROCEDURE	1334	1351	Elektrokardiogram	EKG
casos_clinicos_cardiologia558	PROCEDURE	1572	1583	Lipidprofil	
casos_clinicos_cardiologia558	PROCEDURE	2670	2681	Lipidprofil	
casos_clinicos_cardiologia558	PROCEDURE	3689	3700	lipidprofil	
casos_clinicos_cardiologia558	PROCEDURE	2306	2325	Hjärtkateterisering	
casos_clinicos_cardiologia558	PROCEDURE	2570	2578	hemogram	
casos_clinicos_cardiologia558	PROCEDURE	3137	3149	Hjärtkirurgi	
casos_clinicos_cardiologia558	PROCEDURE	247	283	perkutan revaskularisering med stent	
casos_clinicos_cardiologia558	PROCEDURE	2648	2653	joner	elektrolyter
casos_clinicos_cardiologia558	PROCEDURE	2580	2592	Njurfunktion	
casos_clinicos_cardiologia558	PROCEDURE	5117	5130	rökavvänjning	
casos_clinicos_cardiologia558	PROCEDURE	3984	3990	arGLP1	
casos_clinicos_cardiologia558	PROCEDURE	5308	5326	analytisk kontroll	
casos_clinicos_cardiologia558	PROCEDURE	3904	3923	högpotenta statiner	
casos_clinicos_cardiologia558	PROCEDURE	3100	3120	kirurgisk behandling	
casos_clinicos_cardiologia558	PROCEDURE	5503	5582	Kirurgisk revaskularisering genom fyrdubbel bypass-transplantation av kranskärl	
casos_clinicos_cardiologia558	PROCEDURE	1694	1721	Transtorakalt ekokardiogram	TTE
casos_clinicos_cardiologia558	PROCEDURE	3263	3465	Revaskulariseringskirurgi av hjärtat utfördes med fyrdubbel aortokoronar bypass (proximal inre bröstartär - proximal LAD, bakre nedåtgående saphenous, marginell saphenous-obtuse, saphenous-1odiagonal) u	
casos_clinicos_cardiologia558	PROCEDURE	4714	4727	leverprofilen	
casos_clinicos_cardiologia558	PROCEDURE	1466	1483	Laboratorietester	
casos_clinicos_cardiologia558	PROCEDURE	2536	2544	Blodprov	
casos_clinicos_cardiologia558	PROCEDURE	3216	3233	revaskularisering	
casos_clinicos_cardiologia558	PROCEDURE	3562	3573	operationen	
casos_clinicos_cardiologia558	PROCEDURE	4000	4033	orala antidiabetiska behandlingen	per orala
casos_clinicos_cardiologia558	PROCEDURE	4494	4505	operationen	interventionen
