filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	357	383	Bevarad systolisk funktion	
casos_clinicos_cardiologia508	SYMPTOM	632	653	tryckande bröstsmärta	
casos_clinicos_cardiologia508	SYMPTOM	664	678	hjärtklappning	
casos_clinicos_cardiologia508	SYMPTOM	787	818	rytmisk takykardi med brett QRS	
casos_clinicos_cardiologia508	SYMPTOM	922	931	sinusrytm	
casos_clinicos_cardiologia508	SYMPTOM	1717	1726	sinusrytm	
casos_clinicos_cardiologia508	SYMPTOM	1106	1114	Medveten	
casos_clinicos_cardiologia508	SYMPTOM	1116	1126	orienterad	
casos_clinicos_cardiologia508	SYMPTOM	1144	1157	normohydrerad	
casos_clinicos_cardiologia508	SYMPTOM	1159	1167	Eupneisk	
casos_clinicos_cardiologia508	SYMPTOM	1247	1257	extra ljud	biljud
casos_clinicos_cardiologia508	SYMPTOM	1278	1292	rytmiska toner	regelbundna hjärtljud
casos_clinicos_cardiologia508	SYMPTOM	1782	1822	Röntgen av bröstkorgen: bevarad silhuett	
casos_clinicos_cardiologia508	SYMPTOM	1829	1849	tecken på kongestion	
casos_clinicos_cardiologia508	SYMPTOM	3516	3541	normal systolisk funktion	
casos_clinicos_cardiologia508	SYMPTOM	3614	3669	Elektrofysiologisk undersökning: inga signifikanta fynd	
casos_clinicos_cardiologia508	SYMPTOM	4405	4418	asymptomatisk	
casos_clinicos_cardiologia508	SYMPTOM	353	355	RS	SR
casos_clinicos_cardiologia508	SYMPTOM	1307	1359	Buken mjuk och tryckbar, inte smärtsam vid palpation	
casos_clinicos_cardiologia508	SYMPTOM	3576	3600	Förmaken inte dilaterade	
casos_clinicos_cardiologia508	SYMPTOM	2642	2675	Global systolisk funktion bevarad	
casos_clinicos_cardiologia508	SYMPTOM	2856	2877	Normala högra kammare	
casos_clinicos_cardiologia508	SYMPTOM	1399	1423	Peristaltiken är bevarad	
casos_clinicos_cardiologia508	SYMPTOM	1222	1240	normal ventilation	
casos_clinicos_cardiologia508	SYMPTOM	1425	1454	Nedre extremiteter: inga ödem	
casos_clinicos_cardiologia508	SYMPTOM	3035	3055	intrakavitära massor	
casos_clinicos_cardiologia508	SYMPTOM	1175	1196	jugular ingurgitation	Halsvenstas
casos_clinicos_cardiologia508	SYMPTOM	1128	1139	normal färg	
casos_clinicos_cardiologia508	SYMPTOM	1755	1780	repolarisationsavvikelser	
casos_clinicos_cardiologia508	SYMPTOM	1294	1305	takykardisk	
casos_clinicos_cardiologia508	SYMPTOM	1376	1397	peritoneal irritation	
casos_clinicos_cardiologia508	SYMPTOM	1739	1748	smalt QRS	
casos_clinicos_cardiologia508	SYMPTOM	2529	2579	LV-dimensioner vid den övre gränsen för normalitet	
casos_clinicos_cardiologia508	SYMPTOM	2796	2808	LVOT-höjning	
casos_clinicos_cardiologia508	SYMPTOM	2879	2905	Aortarot av normal storlek	
casos_clinicos_cardiologia508	SYMPTOM	2907	2935	MV och VAo utan förändringar	Mitralklaff och aortaklaff utan förändringar
casos_clinicos_cardiologia508	SYMPTOM	3554	3574	Normal funktion i RV	
casos_clinicos_cardiologia508	SYMPTOM	4240	4256	Tål förflyttning	
