filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	MEDICATION	463	476	atorvastatină	
casos_clinicos_cardiologia508	MEDICATION	484	493	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	500	510	bisoprolol	
casos_clinicos_cardiologia508	MEDICATION	519	530	pantoprazol	
casos_clinicos_cardiologia508	MEDICATION	538	546	aspenter	
casos_clinicos_cardiologia508	MEDICATION	555	562	orfidal	
casos_clinicos_cardiologia508	MEDICATION	569	581	escitalopram	
casos_clinicos_cardiologia491	MEDICATION	305	315	vitamina D	
casos_clinicos_cardiologia558	MEDICATION	326	346	acid acetilsalicilic	
casos_clinicos_cardiologia558	MEDICATION	348	351	ASA	
casos_clinicos_cardiologia558	MEDICATION	369	379	bisoprolol	
casos_clinicos_cardiologia558	MEDICATION	396	409	atorvastatină	
casos_clinicos_cardiologia558	MEDICATION	425	433	ramipril	
casos_clinicos_cardiologia558	MEDICATION	448	457	omeprazol	
casos_clinicos_cardiologia558	MEDICATION	473	495	metformin+empaglifozin	
casos_clinicos_cardiologia558	MEDICATION	519	531	lormetazepam	
casos_clinicos_cardiologia558	MEDICATION	4160	4173	rosuvastatină	
casos_clinicos_cardiologia558	MEDICATION	4186	4195	ezetimibe	
casos_clinicos_cardiologia558	MEDICATION	4410	4421	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	5145	5156	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	5589	5600	vareniclină	
casos_clinicos_cardiologia558	MEDICATION	5602	5609	Champix	
casos_clinicos_cardiologia301	MEDICATION	1446	1466	alfa-agoniste toxice	
casos_clinicos_cardiologia301	MEDICATION	2389	2404	heparină sodică	
casos_clinicos_cardiologia301	MEDICATION	9035	9050	heparină sodică	
casos_clinicos_cardiologia301	MEDICATION	9354	9369	heparină sodică	
casos_clinicos_cardiologia301	MEDICATION	9781	9793	acenocumarol	
casos_clinicos_cardiologia86	MEDICATION	218	253	Lantus 24 UI/24h și insulină rapidă	
casos_clinicos_cardiologia86	MEDICATION	263	271	losartan	
casos_clinicos_cardiologia86	MEDICATION	2282	2287	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2302	2315	atorvastatină	
casos_clinicos_cardiologia86	MEDICATION	2861	2868	Sintrom	
casos_clinicos_cardiologia86	MEDICATION	2881	2886	Adiro	
casos_clinicos_cardiologia415	MEDICATION	4303	4313	flecainidă	
casos_clinicos_cardiologia176	MEDICATION	1357	1370	atorvastatină	
casos_clinicos_cardiologia176	MEDICATION	1734	1754	acid acetilsalicilic	
casos_clinicos_cardiologia176	MEDICATION	1756	1759	ASA	
casos_clinicos_cardiologia176	MEDICATION	1970	1983	atorvastatină	
casos_clinicos_cardiologia176	MEDICATION	1990	1999	ezetimibe	
casos_clinicos_cardiologia176	MEDICATION	4464	4474	alirocumab	
casos_clinicos_cardiologia176	MEDICATION	5379	5392	atorvastatină	
casos_clinicos_cardiologia176	MEDICATION	5399	5408	ezetimibe	
casos_clinicos_cardiologia176	MEDICATION	5531	5541	alirocumab	
casos_clinicos_cardiologia251	MEDICATION	538	550	acenocumarol	
casos_clinicos_cardiologia251	MEDICATION	552	565	atorvastatină	
casos_clinicos_cardiologia251	MEDICATION	576	585	enalapril	
casos_clinicos_cardiologia251	MEDICATION	598	608	bisoprolol	
casos_clinicos_cardiologia251	MEDICATION	1542	1553	cloxacilină	
casos_clinicos_cardiologia251	MEDICATION	1555	1565	ampicilină	
casos_clinicos_cardiologia251	MEDICATION	1569	1580	gentamicină	
casos_clinicos_cardiologia153	MEDICATION	444	453	alteplază	
casos_clinicos_cardiologia153	MEDICATION	3519	3531	acenocumarol	
casos_clinicos_cardiologia593	MEDICATION	193	203	everolimus	
casos_clinicos_cardiologia593	MEDICATION	592	602	lacosamidă	
casos_clinicos_cardiologia593	MEDICATION	620	629	sirolimus	
casos_clinicos_cardiologia574	MEDICATION	918	938	acid acetilsalicilic	
casos_clinicos_cardiologia574	MEDICATION	940	943	ASA	
casos_clinicos_cardiologia574	MEDICATION	958	968	bisoprolol	
casos_clinicos_cardiologia574	MEDICATION	980	996	insulină glargin	
casos_clinicos_cardiologia574	MEDICATION	1009	1032	metformină+sitagliptină	
casos_clinicos_cardiologia574	MEDICATION	1053	1064	gembifrozil	
casos_clinicos_cardiologia574	MEDICATION	1078	1087	omeprazol	
casos_clinicos_cardiologia574	MEDICATION	2570	2579	omeprazol	
casos_clinicos_cardiologia574	MEDICATION	2591	2594	ASA	
casos_clinicos_cardiologia574	MEDICATION	2608	2618	ticagrelor	
casos_clinicos_cardiologia574	MEDICATION	2631	2641	bisoprolol	
casos_clinicos_cardiologia574	MEDICATION	2655	2678	rosuvastatină-ezetimibe	
casos_clinicos_cardiologia574	MEDICATION	2694	2710	insulină glargin	
casos_clinicos_cardiologia574	MEDICATION	2725	2747	metformin-sitagliptină	
casos_clinicos_cardiologia574	MEDICATION	4647	4658	dulaglutide	
casos_clinicos_cardiologia574	MEDICATION	4915	4923	insulină	
casos_clinicos_cardiologia109	MEDICATION	205	214	lorazepam	
casos_clinicos_cardiologia109	MEDICATION	225	237	simvastatină	
casos_clinicos_cardiologia109	MEDICATION	249	260	montelukast	
casos_clinicos_cardiologia109	MEDICATION	274	284	salmeterol	
casos_clinicos_cardiologia109	MEDICATION	2983	2992	furosemid	
casos_clinicos_cardiologia65	MEDICATION	296	304	triptani	
casos_clinicos_cardiologia65	MEDICATION	754	763	labetalol	
casos_clinicos_cardiologia65	MEDICATION	767	785	sulfat de magneziu	
casos_clinicos_cardiologia65	MEDICATION	981	990	Labetalol	
casos_clinicos_cardiologia65	MEDICATION	997	1017	sulfatul de magneziu	
casos_clinicos_cardiologia65	MEDICATION	1106	1115	labetalol	
casos_clinicos_cardiologia65	MEDICATION	1574	1585	sumatriptan	
casos_clinicos_cardiologia65	MEDICATION	1911	1925	nitroglicerină	
casos_clinicos_cardiologia65	MEDICATION	3356	3364	aspenter	
casos_clinicos_cardiologia65	MEDICATION	3546	3556	amlodipină	
casos_clinicos_cardiologia68	MEDICATION	851	859	diazepam	
casos_clinicos_cardiologia185	MEDICATION	4448	4458	albendazol	
casos_clinicos_cardiologia528	MEDICATION	2399	2411	nitroprusiat	
casos_clinicos_cardiologia528	MEDICATION	5287	5296	furosemid	
casos_clinicos_cardiologia528	MEDICATION	5342	5354	levosimendan	
casos_clinicos_cardiologia88	MEDICATION	444	453	enalapril	
