filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	28	42	EXAMENUL FIZIC	
casos_clinicos_cardiologia508	PROCEDURE	323	337	coronarografie	
casos_clinicos_cardiologia508	PROCEDURE	436	463	tratament pentru dependenta	
casos_clinicos_cardiologia508	PROCEDURE	972	996	cardioversiuni electrice	
casos_clinicos_cardiologia508	PROCEDURE	1076	1103	tratament pentru dependenta	
casos_clinicos_cardiologia508	PROCEDURE	1118	1135	Examinarea fizică	
casos_clinicos_cardiologia508	PROCEDURE	1324	1345	Auscultație pulmonară	
casos_clinicos_cardiologia508	PROCEDURE	1391	1411	Auscultație cardiacă	
casos_clinicos_cardiologia508	PROCEDURE	1623	1626	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1819	1822	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1904	1924	Radiografie toracică	
casos_clinicos_cardiologia508	PROCEDURE	1969	1989	Radiografie toracică	
casos_clinicos_cardiologia508	PROCEDURE	2111	2125	Hemoleucograma	
casos_clinicos_cardiologia508	PROCEDURE	2127	2136	Biochimie	
casos_clinicos_cardiologia508	PROCEDURE	2393	2410	Markerii cardiaci	
casos_clinicos_cardiologia508	PROCEDURE	2453	2471	Funcția tiroidiană	
casos_clinicos_cardiologia508	PROCEDURE	2505	2514	Hemogramă	
casos_clinicos_cardiologia508	PROCEDURE	2544	2555	hemoglobină	
casos_clinicos_cardiologia508	PROCEDURE	2654	2668	Ecocardiogramă	
casos_clinicos_cardiologia508	PROCEDURE	3074	3076	VM	
casos_clinicos_cardiologia508	PROCEDURE	3235	3263	Rezonanță magnetică cardiacă	
casos_clinicos_cardiologia508	PROCEDURE	3265	3268	RMN	
casos_clinicos_cardiologia508	PROCEDURE	3733	3757	Studiu electrofiziologic	
casos_clinicos_cardiologia508	PROCEDURE	4009	4012	RMN	
casos_clinicos_cardiologia508	PROCEDURE	4169	4200	implantarea unui ICD subcutanat	
casos_clinicos_cardiologia508	PROCEDURE	4202	4205	DAI	
casos_clinicos_cardiologia508	PROCEDURE	4415	4452	tratamentul cu beta-blocante și ARAII	
casos_clinicos_cardiologia491	PROCEDURE	28	42	EXAMENUL FIZIC	
casos_clinicos_cardiologia491	PROCEDURE	257	284	tratament pentru dependenta	
casos_clinicos_cardiologia491	PROCEDURE	477	492	Examenul clinic	
casos_clinicos_cardiologia491	PROCEDURE	675	693	Electrocardiograma	
casos_clinicos_cardiologia491	PROCEDURE	793	807	ecocardiograma	
casos_clinicos_cardiologia491	PROCEDURE	891	920	ecocardiografie transtoracică	
casos_clinicos_cardiologia491	PROCEDURE	922	925	ETT	
casos_clinicos_cardiologia491	PROCEDURE	938	941	ETT	
casos_clinicos_cardiologia491	PROCEDURE	1802	1815	Doppler color	
casos_clinicos_cardiologia491	PROCEDURE	2034	2037	TTE	
casos_clinicos_cardiologia491	PROCEDURE	2129	2142	CT coronarian	
casos_clinicos_cardiologia491	PROCEDURE	2144	2160	CT-ul coronarian	
casos_clinicos_cardiologia491	PROCEDURE	2491	2515	reimplantare coronariană	
casos_clinicos_cardiologia491	PROCEDURE	2519	2557	chirurgie reparatorie a valvei mitrale	
casos_clinicos_cardiologia491	PROCEDURE	2642	2645	TTE	
casos_clinicos_cardiologia491	PROCEDURE	2690	2723	reimplantarea coronariană izolată	
casos_clinicos_cardiologia491	PROCEDURE	2759	2770	sternotomie	
casos_clinicos_cardiologia491	PROCEDURE	2847	2882	rezecția butonului coronarian stâng	
casos_clinicos_cardiologia491	PROCEDURE	2943	2956	închiderea AP	
casos_clinicos_cardiologia491	PROCEDURE	2985	3000	plastie mitrală	
casos_clinicos_cardiologia491	PROCEDURE	3281	3284	TTE	
casos_clinicos_cardiologia491	PROCEDURE	3540	3543	TTE	
casos_clinicos_cardiologia491	PROCEDURE	4212	4236	reimplantare coronariană	
casos_clinicos_cardiologia491	PROCEDURE	4240	4255	plastie mitrală	
