filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	0	8	ANAMNÉZA	
casos_clinicos_cardiologia508	PROCEDURE	32	51	FYZIKÁLNÍ VYŠETŘENÍ	
casos_clinicos_cardiologia508	PROCEDURE	53	61	Anamnéza	
casos_clinicos_cardiologia508	PROCEDURE	268	282	koronarografii	
casos_clinicos_cardiologia508	PROCEDURE	882	905	elektrickou kardioverzi	
casos_clinicos_cardiologia508	PROCEDURE	959	968	vyšetření	
casos_clinicos_cardiologia508	PROCEDURE	979	998	Fyzikální vyšetření	
casos_clinicos_cardiologia508	PROCEDURE	1198	1213	Auskultace plic	
casos_clinicos_cardiologia508	PROCEDURE	1254	1270	Auskultace srdce	
casos_clinicos_cardiologia508	PROCEDURE	1475	1478	EKG	
casos_clinicos_cardiologia508	PROCEDURE	1667	1670	EKG	
casos_clinicos_cardiologia508	PROCEDURE	1762	1765	RTG	
casos_clinicos_cardiologia508	PROCEDURE	1818	1821	RTG	
casos_clinicos_cardiologia508	PROCEDURE	1946	1967	Laboratorní vyšetření	
casos_clinicos_cardiologia508	PROCEDURE	1969	1978	Biochemie	
casos_clinicos_cardiologia508	PROCEDURE	2243	2260	Kardiální markery	
casos_clinicos_cardiologia508	PROCEDURE	2305	2324	Funkce štítné žlázy	
casos_clinicos_cardiologia508	PROCEDURE	2358	2361	CBC	
casos_clinicos_cardiologia508	PROCEDURE	2502	2516	Echokardiogram	
casos_clinicos_cardiologia508	PROCEDURE	3035	3061	Magnetická rezonance srdce	
casos_clinicos_cardiologia508	PROCEDURE	3063	3066	CMR	
casos_clinicos_cardiologia508	PROCEDURE	3570	3599	Elektrofyziologické vyšetření	
casos_clinicos_cardiologia508	PROCEDURE	3680	3702	Programovaná stimulace	
casos_clinicos_cardiologia508	PROCEDURE	3823	3826	CMR	
casos_clinicos_cardiologia508	PROCEDURE	3993	3996	ICD	
casos_clinicos_cardiologia508	PROCEDURE	4009	4012	ICD	
casos_clinicos_cardiologia491	PROCEDURE	0	8	ANAMNÉZA	
casos_clinicos_cardiologia491	PROCEDURE	0	8	ANAMNÉZA	
casos_clinicos_cardiologia491	PROCEDURE	10	28	nynější onemocnění	
casos_clinicos_cardiologia491	PROCEDURE	31	50	FYZIKÁLNÍ VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	31	50	FYZIKÁLNÍ VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	72	80	anamnézy	
casos_clinicos_cardiologia491	PROCEDURE	72	80	anamnézy	
casos_clinicos_cardiologia491	PROCEDURE	376	385	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	376	385	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	550	559	VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	550	559	VYŠETŘENÍ	
casos_clinicos_cardiologia491	PROCEDURE	560	577	Elektrokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	560	577	Elektrokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	688	702	echokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	688	702	echokardiogram	
casos_clinicos_cardiologia491	PROCEDURE	795	823	echokardiografické vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	825	828	TTE	
casos_clinicos_cardiologia491	PROCEDURE	825	828	TTE	
casos_clinicos_cardiologia491	PROCEDURE	831	834	TTE	
casos_clinicos_cardiologia491	PROCEDURE	831	834	TTE	
casos_clinicos_cardiologia491	PROCEDURE	1537	1555	vyšetření plicnice	
casos_clinicos_cardiologia491	PROCEDURE	1602	1611	dopplerem	
casos_clinicos_cardiologia491	PROCEDURE	1797	1800	TTE	
casos_clinicos_cardiologia491	PROCEDURE	1881	1893	koronární CT	
casos_clinicos_cardiologia491	PROCEDURE	1894	1903	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	1905	1917	Koronární CT	
casos_clinicos_cardiologia491	PROCEDURE	2231	2253	koronární reimplantace	
casos_clinicos_cardiologia491	PROCEDURE	2264	2288	operace mitrální chlopně	
casos_clinicos_cardiologia491	PROCEDURE	2371	2374	TTE	
casos_clinicos_cardiologia491	PROCEDURE	2420	2442	koronární reimplantaci	
casos_clinicos_cardiologia491	PROCEDURE	2444	2454	Intervence	
casos_clinicos_cardiologia491	PROCEDURE	2475	2486	sternotomii	
casos_clinicos_cardiologia491	PROCEDURE	2560	2567	resekce	
casos_clinicos_cardiologia491	PROCEDURE	2598	2609	anastomózou	
casos_clinicos_cardiologia491	PROCEDURE	2643	2658	uzávěr plicnice	
casos_clinicos_cardiologia491	PROCEDURE	2672	2689	mitrální plastika	
casos_clinicos_cardiologia491	PROCEDURE	2950	2953	TTE	
casos_clinicos_cardiologia491	PROCEDURE	3112	3121	sledování	
casos_clinicos_cardiologia491	PROCEDURE	3155	3158	TTE	
casos_clinicos_cardiologia491	PROCEDURE	3159	3168	vyšetření	
casos_clinicos_cardiologia491	PROCEDURE	3394	3410	mitrální plikaci	
casos_clinicos_cardiologia491	PROCEDURE	3737	3759	Koronární reimplantace	
casos_clinicos_cardiologia491	PROCEDURE	3762	3779	mitrální plastika	
casos_clinicos_cardiologia17	PROCEDURE	138	156	Klinické vyšetření	
casos_clinicos_cardiologia17	PROCEDURE	578	604	Rentgenový snímek hrudníku	
casos_clinicos_cardiologia17	PROCEDURE	653	689	elektrokardiografické vyšetření; EKG	
casos_clinicos_cardiologia17	PROCEDURE	736	769	Transezofageální echokardiografie	
casos_clinicos_cardiologia17	PROCEDURE	1190	1208	krevních kulturách	
