filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	SYMPTOM	351	353	SR	
casos_clinicos_cardiologia508	SYMPTOM	355	382	Zachovaná systolická funkce	
casos_clinicos_cardiologia508	SYMPTOM	617	641	tísnivé bolesti na hrudi	
casos_clinicos_cardiologia508	SYMPTOM	653	665	bušení srdce	
casos_clinicos_cardiologia508	SYMPTOM	764	799	rytmická tachykardie se širokým QRS	
casos_clinicos_cardiologia508	SYMPTOM	920	936	sinusového rytmu	
casos_clinicos_cardiologia508	SYMPTOM	1106	1112	vědomí	
casos_clinicos_cardiologia508	SYMPTOM	1114	1125	orientovaný	
casos_clinicos_cardiologia508	SYMPTOM	1127	1141	normální barvy	
casos_clinicos_cardiologia508	SYMPTOM	1144	1160	normohydratovaný	
casos_clinicos_cardiologia508	SYMPTOM	1162	1171	Eupnoický	
casos_clinicos_cardiologia508	SYMPTOM	1179	1192	krční pulzace	
casos_clinicos_cardiologia508	SYMPTOM	1211	1229	normální ventilace	
casos_clinicos_cardiologia508	SYMPTOM	1237	1254	vedlejší fenomény	
casos_clinicos_cardiologia508	SYMPTOM	1256	1297	Auskultace srdce. akce srdeční pravidelná	
casos_clinicos_cardiologia508	SYMPTOM	1299	1310	tachykardie	
casos_clinicos_cardiologia508	SYMPTOM	1312	1363	Břicho měkké a stlačitelné, při palpaci nebolestivé	
casos_clinicos_cardiologia508	SYMPTOM	1376	1399	peritoneálního dráždění	
casos_clinicos_cardiologia508	SYMPTOM	1401	1422	peristaltika přítomná	
casos_clinicos_cardiologia508	SYMPTOM	1441	1450	bez otoků	
casos_clinicos_cardiologia508	SYMPTOM	1503	1514	tachykardie	
casos_clinicos_cardiologia508	SYMPTOM	1698	1713	sinusový rytmus	
casos_clinicos_cardiologia508	SYMPTOM	1731	1739	úzké QRS	
casos_clinicos_cardiologia508	SYMPTOM	1745	1771	repolarizačních abnormalit	
casos_clinicos_cardiologia508	SYMPTOM	2511	2544	rozměry LK na horní hranici normy	
casos_clinicos_cardiologia508	SYMPTOM	2607	2643	Globální systolická funkce zachována	
casos_clinicos_cardiologia508	SYMPTOM	2762	2774	elevaci LVOT	
casos_clinicos_cardiologia508	SYMPTOM	2825	2846	Normální pravá komora	
casos_clinicos_cardiologia508	SYMPTOM	2848	2878	Kořen aorty normální velikosti	
casos_clinicos_cardiologia508	SYMPTOM	2880	2897	MV a VAo bez změn	
casos_clinicos_cardiologia508	SYMPTOM	3089	3095	edémem	
casos_clinicos_cardiologia508	SYMPTOM	3465	3492	normální systolickou funkcí	
casos_clinicos_cardiologia508	SYMPTOM	3505	3523	Normální funkce RV	
casos_clinicos_cardiologia508	SYMPTOM	3525	3551	Předsíně nejsou dilatované	
casos_clinicos_cardiologia508	SYMPTOM	4134	4151	pohyb bez omezení	
casos_clinicos_cardiologia508	SYMPTOM	4275	4289	asymptomatická	
casos_clinicos_cardiologia491	SYMPTOM	180	186	šelest	
