filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	DISEASE	83	95	toxic habits	
casos_clinicos_cardiologia508	DISEASE	130	143	dyslipidaemia	
casos_clinicos_cardiologia508	DISEASE	148	165	diabetes mellitus	
casos_clinicos_cardiologia508	DISEASE	167	193	Fracture of 5th metacarpal	
casos_clinicos_cardiologia508	DISEASE	195	223	Reactive depressive syndrome	
casos_clinicos_cardiologia508	DISEASE	252	259	NSTEACS	
casos_clinicos_cardiologia508	DISEASE	268	284	coronary lesions	
casos_clinicos_cardiologia508	DISEASE	327	346	atrial fibrillation	
casos_clinicos_cardiologia508	DISEASE	1505	1508	DVT	
casos_clinicos_cardiologia508	DISEASE	1549	1569	wide QRS tachycardia	
casos_clinicos_cardiologia508	DISEASE	1590	1593	BRD	
casos_clinicos_cardiologia508	DISEASE	2817	2836	LA slightly dilated	
casos_clinicos_cardiologia508	DISEASE	2964	2966	IT	
casos_clinicos_cardiologia508	DISEASE	3007	3027	pericardial effusion	
casos_clinicos_cardiologia508	DISEASE	3108	3142	acute myocarditis (LV) with oedema	
casos_clinicos_cardiologia508	DISEASE	3441	3474	Moderately dilated left ventricle	
casos_clinicos_cardiologia508	DISEASE	3570	3577	Mild AI	
casos_clinicos_cardiologia508	DISEASE	3741	3752	arrhythmias	
casos_clinicos_cardiologia508	DISEASE	3845	3856	arrhythmias	
casos_clinicos_cardiologia508	DISEASE	3906	3923	myocardial oedema	
casos_clinicos_cardiologia508	DISEASE	3951	3968	acute myocarditis	
casos_clinicos_cardiologia508	DISEASE	4477	4510	Sustained ventricular tachycardia	
casos_clinicos_cardiologia508	DISEASE	4529	4546	acute myocarditis	
casos_clinicos_cardiologia491	DISEASE	718	742	left chamber enlargement	
casos_clinicos_cardiologia491	DISEASE	798	817	mitral regurgitatio	
casos_clinicos_cardiologia491	DISEASE	820	822	MR	
casos_clinicos_cardiologia491	DISEASE	993	1015	dilated left ventricle	
casos_clinicos_cardiologia491	DISEASE	1224	1252	left atrium was very dilated	
casos_clinicos_cardiologia491	DISEASE	1322	1364	left-right shunt through the foramen ovale	
casos_clinicos_cardiologia491	DISEASE	1386	1388	MR	
casos_clinicos_cardiologia491	DISEASE	1628	1642	fibroelastosis	
casos_clinicos_cardiologia491	DISEASE	1978	2015	anomalous coronary origin from the PA	
casos_clinicos_cardiologia491	DISEASE	2111	2157	left main coronary artery emerging from the PA	
casos_clinicos_cardiologia491	DISEASE	2193	2199	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	2201	2257	Anomalous Left Coronary Artery from the Pulmonary Artery	
casos_clinicos_cardiologia491	DISEASE	2272	2300	Bland-White-Garland syndrome	
casos_clinicos_cardiologia491	DISEASE	2489	2534	lesions present in the mitral valve apparatus	
casos_clinicos_cardiologia491	DISEASE	2701	2750	exit of the left main coronary artery from the PA	
casos_clinicos_cardiologia491	DISEASE	3082	3114	dilatation of the mitral annulus	
casos_clinicos_cardiologia491	DISEASE	3273	3274	M	
casos_clinicos_cardiologia491	DISEASE	3677	3702	MR was classified as mild	
casos_clinicos_cardiologia491	DISEASE	3920	3926	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	3928	3984	Anomalous Left Coronary Artery from the Pulmonary Artery	
casos_clinicos_cardiologia491	DISEASE	3988	4016	Bland-White-Garland Syndrome	
casos_clinicos_cardiologia491	DISEASE	4019	4056	Secondary severe mitral insufficiency	
casos_clinicos_cardiologia17	DISEASE	836	891	vegetations on the anterior leaflet of the mitral valve	
casos_clinicos_cardiologia17	DISEASE	945	977	1.6 x 1.3 cm perforated aneurysm	
casos_clinicos_cardiologia17	DISEASE	992	1012	severe regurgitation	
casos_clinicos_cardiologia17	DISEASE	1177	1223	perforation of the posterior semilunar leaflet	
casos_clinicos_cardiologia17	DISEASE	1322	1354	vertebral osteomyelitis of L4-L5	
casos_clinicos_cardiologia558	DISEASE	68	82	drug allergies	
casos_clinicos_cardiologia558	DISEASE	84	93	Ex-smoker	
