filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	MEDICATION	439	452	atorvastatina	
casos_clinicos_cardiologia508	MEDICATION	460	469	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	476	486	bisoprolol	
casos_clinicos_cardiologia508	MEDICATION	495	506	pantoprazol	
casos_clinicos_cardiologia508	MEDICATION	514	519	adiro	
casos_clinicos_cardiologia508	MEDICATION	528	535	orfidal	
casos_clinicos_cardiologia508	MEDICATION	542	554	escitalopram	
casos_clinicos_cardiologia491	MEDICATION	273	283	vitamina D	
casos_clinicos_cardiologia558	MEDICATION	366	388	ácido acetilsalicílico	
casos_clinicos_cardiologia558	MEDICATION	390	393	AAS	
casos_clinicos_cardiologia558	MEDICATION	413	423	bisoprolol	
casos_clinicos_cardiologia558	MEDICATION	442	455	atorvastatina	
casos_clinicos_cardiologia558	MEDICATION	473	481	ramipril	
casos_clinicos_cardiologia558	MEDICATION	498	507	omeprazol	
casos_clinicos_cardiologia558	MEDICATION	525	549	metformina+empaglifozina	
casos_clinicos_cardiologia558	MEDICATION	575	587	lormetazepam	
casos_clinicos_cardiologia558	MEDICATION	4060	4073	rosuvastatina	
casos_clinicos_cardiologia558	MEDICATION	4161	4172	semaglutida	
casos_clinicos_cardiologia558	MEDICATION	4298	4309	semaglutida	
casos_clinicos_cardiologia558	MEDICATION	5047	5058	semaglutida	
casos_clinicos_cardiologia558	MEDICATION	5498	5505	Champix	
casos_clinicos_cardiologia558	MEDICATION	4085	4094	ezetimiba	
casos_clinicos_cardiologia558	MEDICATION	5485	5496	vareniclina	
casos_clinicos_cardiologia301	MEDICATION	2318	2333	heparina sódica	
casos_clinicos_cardiologia301	MEDICATION	8949	8964	heparina sódica	
casos_clinicos_cardiologia301	MEDICATION	9276	9291	heparina sódica	
casos_clinicos_cardiologia301	MEDICATION	9692	9704	acenocumarol	
casos_clinicos_cardiologia86	MEDICATION	201	235	insulina Lantus 24 UI/24h y rápida	
casos_clinicos_cardiologia86	MEDICATION	245	253	losartán	
casos_clinicos_cardiologia86	MEDICATION	2291	2296	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2310	2323	atorvastatina	
casos_clinicos_cardiologia86	MEDICATION	2835	2842	Sintrom	
casos_clinicos_cardiologia86	MEDICATION	2859	2864	Adiro	
casos_clinicos_cardiologia176	MEDICATION	1376	1389	atorvastatina	
casos_clinicos_cardiologia176	MEDICATION	1736	1758	ácido acetilsalicílico	
casos_clinicos_cardiologia176	MEDICATION	1760	1763	AAS	
casos_clinicos_cardiologia176	MEDICATION	1947	1960	atorvastatina	
casos_clinicos_cardiologia176	MEDICATION	1967	1976	ezetimiba	
