filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	MEDICATION	460	473	atorvastatina	
casos_clinicos_cardiologia508	MEDICATION	481	490	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	497	508	bisoprololo	
casos_clinicos_cardiologia508	MEDICATION	517	529	pantoprazolo	
casos_clinicos_cardiologia508	MEDICATION	537	542	adiro	
casos_clinicos_cardiologia508	MEDICATION	537	542	adiro	
casos_clinicos_cardiologia508	MEDICATION	551	560	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	567	579	escitalopram	
casos_clinicos_cardiologia491	MEDICATION	307	317	vitamina D	
casos_clinicos_cardiologia558	MEDICATION	328	350	acido acetilsalicilico	
casos_clinicos_cardiologia558	MEDICATION	377	388	bisoprololo	
casos_clinicos_cardiologia558	MEDICATION	409	422	atorvastatina	
casos_clinicos_cardiologia558	MEDICATION	442	450	ramipril	
casos_clinicos_cardiologia558	MEDICATION	469	479	omeprazolo	
casos_clinicos_cardiologia558	MEDICATION	499	522	metformina+empaglifozin	
casos_clinicos_cardiologia558	MEDICATION	550	562	lormetazepam	
casos_clinicos_cardiologia558	MEDICATION	4242	4255	rosuvastatina	
casos_clinicos_cardiologia558	MEDICATION	4267	4276	ezetimibe	
casos_clinicos_cardiologia558	MEDICATION	4358	4369	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	4482	4493	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	5279	5290	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	5766	5777	vareniclina	
casos_clinicos_cardiologia558	MEDICATION	5779	5786	Champix	
casos_clinicos_cardiologia301	MEDICATION	2427	2441	eparina sodica	
casos_clinicos_cardiologia301	MEDICATION	9198	9212	eparina sodica	
casos_clinicos_cardiologia301	MEDICATION	9972	9985	acenocumarolo	
casos_clinicos_cardiologia86	MEDICATION	185	228	insulina Lantus 24 UI/24h e insulina rapida	
casos_clinicos_cardiologia86	MEDICATION	238	246	losartan	
casos_clinicos_cardiologia86	MEDICATION	2325	2347	acido acetilsalicilico	
casos_clinicos_cardiologia86	MEDICATION	2361	2374	atorvastatina	
casos_clinicos_cardiologia86	MEDICATION	2926	2933	Sintrom	
casos_clinicos_cardiologia86	MEDICATION	2947	2969	acido acetilsalicilico	
casos_clinicos_cardiologia176	MEDICATION	1423	1436	atorvastatina	
casos_clinicos_cardiologia176	MEDICATION	1818	1840	acido acetilsalicilico	
casos_clinicos_cardiologia176	MEDICATION	2075	2088	atorvastatina	
casos_clinicos_cardiologia176	MEDICATION	2095	2104	ezetimibe	
casos_clinicos_cardiologia176	MEDICATION	4648	4658	alirocumab	
casos_clinicos_cardiologia176	MEDICATION	5615	5628	atorvastatina	
casos_clinicos_cardiologia176	MEDICATION	5635	5644	ezetimibe	
casos_clinicos_cardiologia176	MEDICATION	5763	5773	alirocumab	
casos_clinicos_cardiologia251	MEDICATION	498	511	acenocumarolo	
casos_clinicos_cardiologia251	MEDICATION	513	526	atorvastatina	
casos_clinicos_cardiologia251	MEDICATION	538	547	enalapril	
casos_clinicos_cardiologia251	MEDICATION	560	571	bisoprololo	
casos_clinicos_cardiologia251	MEDICATION	1561	1573	cloxacillina	
casos_clinicos_cardiologia251	MEDICATION	1575	1586	ampicillina	
casos_clinicos_cardiologia251	MEDICATION	1589	1600	gentamicina	
casos_clinicos_cardiologia153	MEDICATION	3720	3733	acenocumarolo	
casos_clinicos_cardiologia593	MEDICATION	187	197	everolimus	
casos_clinicos_cardiologia593	MEDICATION	582	592	lacosamide	
casos_clinicos_cardiologia593	MEDICATION	609	618	sirolimus	
casos_clinicos_cardiologia574	MEDICATION	916	938	acido acetilsalicilico	
casos_clinicos_cardiologia574	MEDICATION	958	969	bisoprololo	
casos_clinicos_cardiologia574	MEDICATION	981	989	insulina	
casos_clinicos_cardiologia574	MEDICATION	981	998	insulina glargine	
casos_clinicos_cardiologia574	MEDICATION	1011	1033	metformina+sitagliptin	
casos_clinicos_cardiologia574	MEDICATION	1054	1065	gemfibrozil	
casos_clinicos_cardiologia574	MEDICATION	1079	1089	omeprazolo	
casos_clinicos_cardiologia574	MEDICATION	2631	2641	omeprazolo	
casos_clinicos_cardiologia574	MEDICATION	2670	2680	ticagrelor	
casos_clinicos_cardiologia574	MEDICATION	2693	2704	bisoprololo	
casos_clinicos_cardiologia574	MEDICATION	2718	2741	rosuvastatina-ezetimibe	
casos_clinicos_cardiologia574	MEDICATION	2757	2765	insulina	
casos_clinicos_cardiologia574	MEDICATION	2757	2774	insulina glargine	
casos_clinicos_cardiologia574	MEDICATION	2788	2810	metformina-sitagliptin	
casos_clinicos_cardiologia574	MEDICATION	4777	4788	Dulaglutide	
casos_clinicos_cardiologia109	MEDICATION	200	209	lorazepam	
casos_clinicos_cardiologia109	MEDICATION	220	232	simvastatina	
casos_clinicos_cardiologia109	MEDICATION	244	255	montelukast	
casos_clinicos_cardiologia109	MEDICATION	268	291	salmeterolo/fluticasone	
casos_clinicos_cardiologia109	MEDICATION	3146	3156	furosemide	
casos_clinicos_cardiologia65	MEDICATION	273	281	triptani	
casos_clinicos_cardiologia65	MEDICATION	748	758	labetalolo	
casos_clinicos_cardiologia65	MEDICATION	761	780	solfato di magnesio	
casos_clinicos_cardiologia65	MEDICATION	1031	1041	labetalolo	
casos_clinicos_cardiologia65	MEDICATION	1050	1069	solfato di magnesio	
casos_clinicos_cardiologia65	MEDICATION	1163	1173	labetalolo	
casos_clinicos_cardiologia65	MEDICATION	1353	1363	nifedipina	
casos_clinicos_cardiologia65	MEDICATION	1380	1389	enalapril	
casos_clinicos_cardiologia65	MEDICATION	1646	1657	sumatriptan	
casos_clinicos_cardiologia65	MEDICATION	1994	2008	nitroglicerina	
casos_clinicos_cardiologia65	MEDICATION	3538	3560	acido acetilsalicilico	
casos_clinicos_cardiologia65	MEDICATION	3747	3757	amlodipina	
casos_clinicos_cardiologia68	MEDICATION	853	861	diazepam	
casos_clinicos_cardiologia185	MEDICATION	4658	4669	albendazolo	
casos_clinicos_cardiologia528	MEDICATION	2449	2463	nitroprussiato	
casos_clinicos_cardiologia528	MEDICATION	5423	5433	furosemide	
casos_clinicos_cardiologia528	MEDICATION	5480	5492	levosimendan	
casos_clinicos_cardiologia88	MEDICATION	421	430	enalapril	
casos_clinicos_cardiologia88	MEDICATION	432	439	statina	
casos_clinicos_cardiologia88	MEDICATION	442	452	omeprazolo	
casos_clinicos_cardiologia288	MEDICATION	302	312	citalopram	
casos_clinicos_cardiologia14	MEDICATION	2012	2023	ceftriaxone	
casos_clinicos_cardiologia14	MEDICATION	2026	2035	aciclovir	
casos_clinicos_cardiologia14	MEDICATION	2781	2792	vancomicina	
casos_clinicos_cardiologia14	MEDICATION	3896	3907	vancomicina	
casos_clinicos_cardiologia14	MEDICATION	3910	3921	gentamicina	
casos_clinicos_cardiologia334	MEDICATION	6635	6644	lidocaina	
casos_clinicos_cardiologia334	MEDICATION	6658	6668	epinefrina	
casos_clinicos_cardiologia232	MEDICATION	1875	1886	propanololo	
casos_clinicos_cardiologia232	MEDICATION	1905	1915	duloxetina	
casos_clinicos_cardiologia114	MEDICATION	797	807	talidomide	
casos_clinicos_cardiologia578	MEDICATION	1337	1346	abciximab	
