filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	30	42	ESAME FISICO	
casos_clinicos_cardiologia508	PROCEDURE	297	319	angiografia coronarica	
casos_clinicos_cardiologia508	PROCEDURE	978	1002	cardioversione elettrica	
casos_clinicos_cardiologia508	PROCEDURE	1101	1113	Esame fisico	
casos_clinicos_cardiologia508	PROCEDURE	1322	1345	Auscultazione polmonare	
casos_clinicos_cardiologia508	PROCEDURE	1386	1408	Auscultazione cardiaca	
casos_clinicos_cardiologia508	PROCEDURE	1626	1629	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1830	1833	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1927	1949	Radiografia del torace	
casos_clinicos_cardiologia508	PROCEDURE	2000	2022	Radiografia del torace	
casos_clinicos_cardiologia508	PROCEDURE	2162	2170	Emocromo	
casos_clinicos_cardiologia508	PROCEDURE	2172	2182	Biochimica	
casos_clinicos_cardiologia508	PROCEDURE	2445	2463	Marcatori cardiaci	
casos_clinicos_cardiologia508	PROCEDURE	2507	2524	Funzione tiroidea	
casos_clinicos_cardiologia508	PROCEDURE	2558	2566	Emocromo	
casos_clinicos_cardiologia508	PROCEDURE	2711	2726	Ecocardiogramma	
casos_clinicos_cardiologia508	PROCEDURE	3320	3348	Risonanza magnetica cardiaca	
casos_clinicos_cardiologia508	PROCEDURE	3792	3817	Studio elettrofisiologico	
casos_clinicos_cardiologia508	PROCEDURE	4273	4289	ICD sottocutaneo	
casos_clinicos_cardiologia491	PROCEDURE	28	40	ESAME FISICO	
casos_clinicos_cardiologia491	PROCEDURE	691	710	elettrocardiogramma	
casos_clinicos_cardiologia491	PROCEDURE	1825	1854	studio dell'arteria polmonare	
casos_clinicos_cardiologia491	PROCEDURE	2240	2253	TC coronarica	
casos_clinicos_cardiologia491	PROCEDURE	2258	2271	TC coronarica	
casos_clinicos_cardiologia491	PROCEDURE	2610	2631	reimpianto coronarico	
casos_clinicos_cardiologia491	PROCEDURE	2637	2647	intervento	
casos_clinicos_cardiologia491	PROCEDURE	2637	2684	intervento di riparazione della valvola mitrale	
casos_clinicos_cardiologia491	PROCEDURE	2829	2850	reimpianto coronarico	
casos_clinicos_cardiologia491	PROCEDURE	2862	2872	intervento	
casos_clinicos_cardiologia491	PROCEDURE	2898	2909	sternotomia	
casos_clinicos_cardiologia491	PROCEDURE	3005	3046	resezione del bottone coronarico sinistro	
casos_clinicos_cardiologia491	PROCEDURE	3051	3106	anastomosi alla parete posteriore dell'aorta ascendente	
casos_clinicos_cardiologia491	PROCEDURE	3109	3126	chiusura della PA	
casos_clinicos_cardiologia491	PROCEDURE	4097	4116	plicatura mitralica	
casos_clinicos_cardiologia491	PROCEDURE	4456	4466	Intervento	
casos_clinicos_cardiologia491	PROCEDURE	4456	4491	Intervento di reimpianto coronarico	
casos_clinicos_cardiologia491	PROCEDURE	4470	4491	reimpianto coronarico	
casos_clinicos_cardiologia491	PROCEDURE	4494	4512	plastica mitralica	
casos_clinicos_cardiologia17	PROCEDURE	162	175	esame clinico	
casos_clinicos_cardiologia17	PROCEDURE	660	682	radiografia del torace	
casos_clinicos_cardiologia17	PROCEDURE	741	780	tracciato elettrocardiografico a riposo	
casos_clinicos_cardiologia17	PROCEDURE	823	852	ecocardiografia transesofagea	
casos_clinicos_cardiologia17	PROCEDURE	1345	1355	emocolture	
casos_clinicos_cardiologia17	PROCEDURE	1412	1444	risonanza magnetica lombosacrale	
casos_clinicos_cardiologia17	PROCEDURE	1505	1526	intervento chirurgico	
casos_clinicos_cardiologia17	PROCEDURE	1580	1624	sostituzione bivalvolare aortica e mitralica	
casos_clinicos_cardiologia17	PROCEDURE	1648	1678	impianto di protesi meccaniche	
casos_clinicos_cardiologia558	PROCEDURE	30	42	ESAME FISICO	
casos_clinicos_cardiologia558	PROCEDURE	255	274	rivascolarizzazione	
casos_clinicos_cardiologia558	PROCEDURE	255	295	rivascolarizzazione percutanea con stent	
casos_clinicos_cardiologia558	PROCEDURE	813	842	ecocardiografia transtoracica	
casos_clinicos_cardiologia558	PROCEDURE	870	892	angiografia coronarica	
casos_clinicos_cardiologia558	PROCEDURE	907	919	Esame fisico	
casos_clinicos_cardiologia558	PROCEDURE	1159	1191	Auscultazione cardiorespiratoria	
casos_clinicos_cardiologia558	PROCEDURE	1365	1384	Elettrocardiogramma	
casos_clinicos_cardiologia558	PROCEDURE	1625	1641	Profilo lipidico	
casos_clinicos_cardiologia558	PROCEDURE	2416	2436	Cateterismo cardiaco	
casos_clinicos_cardiologia558	PROCEDURE	2686	2699	Esami ematici	
casos_clinicos_cardiologia558	PROCEDURE	2715	2723	emocromo	
casos_clinicos_cardiologia558	PROCEDURE	2733	2748	Funzione renale	
casos_clinicos_cardiologia558	PROCEDURE	2800	2804	ioni	
casos_clinicos_cardiologia558	PROCEDURE	2829	2845	Profilo lipidico	
casos_clinicos_cardiologia558	PROCEDURE	3087	3109	angiografia coronarica	
casos_clinicos_cardiologia558	PROCEDURE	3314	3336	trattamento chirurgico	
casos_clinicos_cardiologia558	PROCEDURE	3341	3356	cardiochirurgia	
casos_clinicos_cardiologia558	PROCEDURE	3440	3450	intervento	
casos_clinicos_cardiologia558	PROCEDURE	3454	3473	rivascolarizzazione	
casos_clinicos_cardiologia558	PROCEDURE	3497	3507	intervento	
casos_clinicos_cardiologia558	PROCEDURE	3511	3530	rivascolarizzazione	
casos_clinicos_cardiologia558	PROCEDURE	3563	3725	quadruplo bypass aortocoronarico (arteria mammaria interna prossimale - LAD prossimale, safena discendente posteriore, safena marginale-ottusa, safena-1odiagonale	
casos_clinicos_cardiologia558	PROCEDURE	3843	3853	intervento	
casos_clinicos_cardiologia558	PROCEDURE	3980	3996	profilo lipidico	
casos_clinicos_cardiologia558	PROCEDURE	4940	4950	intervento	
casos_clinicos_cardiologia558	PROCEDURE	5806	5825	controllo analitico	
casos_clinicos_cardiologia558	PROCEDURE	6011	6030	Rivascolarizzazione	
casos_clinicos_cardiologia558	PROCEDURE	6051	6084	quadruplo bypass aorto-coronarico	
casos_clinicos_cardiologia301	PROCEDURE	357	369	ESAME FISICO	
casos_clinicos_cardiologia301	PROCEDURE	1123	1131	angio-TC	
casos_clinicos_cardiologia301	PROCEDURE	1609	1624	ecocardiogramma	
casos_clinicos_cardiologia301	PROCEDURE	2072	2101	marcatori di danno miocardico	
casos_clinicos_cardiologia301	PROCEDURE	2177	2199	angiografia coronarica	
casos_clinicos_cardiologia301	PROCEDURE	2444	2456	ESAME FISICO	
casos_clinicos_cardiologia301	PROCEDURE	2781	2803	Auscultazione cardiaca	
casos_clinicos_cardiologia301	PROCEDURE	2888	2911	Auscultazione polmonare	
casos_clinicos_cardiologia301	PROCEDURE	3111	3121	palpazione	
casos_clinicos_cardiologia301	PROCEDURE	3362	3365	ECG	
casos_clinicos_cardiologia301	PROCEDURE	3506	3514	Angio-TC	
casos_clinicos_cardiologia301	PROCEDURE	3506	3548	Angio-TC del torace e degli arti superiori	
casos_clinicos_cardiologia301	PROCEDURE	3849	3864	Ecocardiogramma	
casos_clinicos_cardiologia301	PROCEDURE	4263	4272	Emogramma	
casos_clinicos_cardiologia301	PROCEDURE	4683	4693	Biochimica	
casos_clinicos_cardiologia301	PROCEDURE	4956	4968	Coagulazione	
casos_clinicos_cardiologia301	PROCEDURE	5100	5149	Serializzazione dei marcatori di danno miocardico	
casos_clinicos_cardiologia301	PROCEDURE	5120	5149	marcatori di danno miocardico	
casos_clinicos_cardiologia301	PROCEDURE	5303	5325	Angiografia coronarica	
casos_clinicos_cardiologia301	PROCEDURE	5449	5464	Ecocardiogramma	
casos_clinicos_cardiologia301	PROCEDURE	6832	6846	Angiografia TC	
casos_clinicos_cardiologia301	PROCEDURE	7115	7145	Radiografia magnetica cardiaca	
casos_clinicos_cardiologia301	PROCEDURE	8355	8363	angio-TC	
casos_clinicos_cardiologia301	PROCEDURE	8458	8470	embolectomia	
casos_clinicos_cardiologia301	PROCEDURE	8458	8494	embolectomia con catetere di Fogarty	
casos_clinicos_cardiologia301	PROCEDURE	8773	8788	ecocardiogramma	
casos_clinicos_cardiologia301	PROCEDURE	9044	9066	angiografia coronarica	
casos_clinicos_cardiologia301	PROCEDURE	9564	9576	trombectomia	
casos_clinicos_cardiologia301	PROCEDURE	10042	10061	chirurgia vascolare	
casos_clinicos_cardiologia301	PROCEDURE	10320	10332	embolectomia	
casos_clinicos_cardiologia301	PROCEDURE	10464	10496	tromboembolectomia transfemorale	
casos_clinicos_cardiologia86	PROCEDURE	30	42	esame fisico	
casos_clinicos_cardiologia86	PROCEDURE	714	722	Emocromo	
casos_clinicos_cardiologia86	PROCEDURE	724	732	emocromo	
casos_clinicos_cardiologia86	PROCEDURE	742	754	coagulazione	
casos_clinicos_cardiologia86	PROCEDURE	764	774	Biochimica	
casos_clinicos_cardiologia86	PROCEDURE	873	876	ECG	
casos_clinicos_cardiologia86	PROCEDURE	961	971	TC cranica	
casos_clinicos_cardiologia86	PROCEDURE	2585	2596	TAC cranica	
casos_clinicos_cardiologia86	PROCEDURE	2668	2687	studio cardiologico	
casos_clinicos_cardiologia86	PROCEDURE	2712	2741	ecocardiografia transesofagea	
casos_clinicos_cardiologia415	PROCEDURE	30	42	ESAME FISICO	
casos_clinicos_cardiologia415	PROCEDURE	449	468	elettrocardiogramma	
casos_clinicos_cardiologia415	PROCEDURE	470	473	ECG	
casos_clinicos_cardiologia415	PROCEDURE	545	560	defibrillazioni	
casos_clinicos_cardiologia415	PROCEDURE	637	640	ECG	
casos_clinicos_cardiologia415	PROCEDURE	862	882	cateterismo cardiaco	
casos_clinicos_cardiologia415	PROCEDURE	1105	1117	ESAME FISICO	
casos_clinicos_cardiologia415	PROCEDURE	1208	1230	Auscultazione cardiaca	
casos_clinicos_cardiologia415	PROCEDURE	1254	1277	Auscultazione polmonare	
casos_clinicos_cardiologia415	PROCEDURE	1342	1345	ECG	
casos_clinicos_cardiologia415	PROCEDURE	1457	1464	ANALISI	
casos_clinicos_cardiologia415	PROCEDURE	1466	1476	biochimica	
casos_clinicos_cardiologia415	PROCEDURE	1787	1801	proteinogramma	
casos_clinicos_cardiologia415	PROCEDURE	1811	1829	Marcatori cardiaci	
casos_clinicos_cardiologia415	PROCEDURE	1899	1916	Funzione tiroidea	
casos_clinicos_cardiologia415	PROCEDURE	1949	1957	Emocromo	
casos_clinicos_cardiologia415	PROCEDURE	2104	2116	Coagulazione	
casos_clinicos_cardiologia415	PROCEDURE	2156	2170	CORONAROGRAFIA	
casos_clinicos_cardiologia415	PROCEDURE	2477	2493	Ventricolografia	
casos_clinicos_cardiologia415	PROCEDURE	2651	2673	iniezione di contrasto	
casos_clinicos_cardiologia415	PROCEDURE	2730	2745	ecocardiografia	
casos_clinicos_cardiologia415	PROCEDURE	2747	2762	ECOCARDIOGRAMMA	
casos_clinicos_cardiologia415	PROCEDURE	4134	4149	ecocardiogramma	
casos_clinicos_cardiologia415	PROCEDURE	4470	4490	test alla flecainide	
casos_clinicos_cardiologia415	PROCEDURE	4730	4743	test genetico	
casos_clinicos_cardiologia415	PROCEDURE	4859	4874	studio genetico	
casos_clinicos_cardiologia415	PROCEDURE	4877	4905	Impianto di ICD sottocutaneo	
casos_clinicos_cardiologia176	PROCEDURE	805	827	angiografia coronarica	
casos_clinicos_cardiologia176	PROCEDURE	1188	1203	ecocardiografia	
casos_clinicos_cardiologia176	PROCEDURE	1300	1307	analisi	
casos_clinicos_cardiologia176	PROCEDURE	1582	1611	marcatori di danno miocardico	
casos_clinicos_cardiologia176	PROCEDURE	2454	2475	interventi chirurgici	
casos_clinicos_cardiologia176	PROCEDURE	2629	2659	rivascolarizzazione chirurgica	
casos_clinicos_cardiologia176	PROCEDURE	2881	2904	riabilitazione cardiaca	
casos_clinicos_cardiologia176	PROCEDURE	3024	3036	ESAME FISICO	
casos_clinicos_cardiologia176	PROCEDURE	3145	3160	ossigenoterapia	
casos_clinicos_cardiologia176	PROCEDURE	3249	3271	Auscultazione cardiaca	
casos_clinicos_cardiologia176	PROCEDURE	3532	3535	ECG	
casos_clinicos_cardiologia176	PROCEDURE	3756	3771	Ecocardiografia	
casos_clinicos_cardiologia176	PROCEDURE	4313	4321	Emocromo	
casos_clinicos_cardiologia176	PROCEDURE	4337	4345	Emocromo	
casos_clinicos_cardiologia176	PROCEDURE	4417	4427	Biochimica	
casos_clinicos_cardiologia176	PROCEDURE	4458	4478	profilo epatobiliare	
casos_clinicos_cardiologia176	PROCEDURE	4499	4515	Profilo lipidico	
casos_clinicos_cardiologia176	PROCEDURE	4661	4669	emocromo	
casos_clinicos_cardiologia176	PROCEDURE	4741	4751	Biochimica	
casos_clinicos_cardiologia176	PROCEDURE	4768	4772	ioni	
casos_clinicos_cardiologia176	PROCEDURE	4782	4802	profilo epatobiliare	
casos_clinicos_cardiologia176	PROCEDURE	4824	4840	Profilo lipidico	
casos_clinicos_cardiologia176	PROCEDURE	5992	5999	analisi	
casos_clinicos_cardiologia251	PROCEDURE	30	42	ESAME FISICO	
casos_clinicos_cardiologia251	PROCEDURE	108	129	intervento chirurgico	
casos_clinicos_cardiologia251	PROCEDURE	145	209	impianto di una protesi aortica meccanica e di un tubo valvolato	
casos_clinicos_cardiologia251	PROCEDURE	221	251	rivascolarizzazione coronarica	
casos_clinicos_cardiologia251	PROCEDURE	285	364	bypass dell'arteria mammaria interna sinistra all'arteria discendente anteriore	
casos_clinicos_cardiologia251	PROCEDURE	1049	1071	Auscultazione cardiaca	
casos_clinicos_cardiologia251	PROCEDURE	1101	1124	Auscultazione polmonare	
casos_clinicos_cardiologia251	PROCEDURE	1422	1432	emocolture	
casos_clinicos_cardiologia251	PROCEDURE	1501	1522	espansione del volume	
casos_clinicos_cardiologia251	PROCEDURE	1741	1756	ecocardiogramma	
casos_clinicos_cardiologia251	PROCEDURE	1976	2003	risonanza magnetica cranica	
casos_clinicos_cardiologia251	PROCEDURE	2288	2298	emocolture	
casos_clinicos_cardiologia251	PROCEDURE	2423	2444	angiografia cerebrale	
casos_clinicos_cardiologia251	PROCEDURE	2541	2556	ecocardiogramma	
casos_clinicos_cardiologia251	PROCEDURE	2657	2682	tomografia computerizzata	
casos_clinicos_cardiologia251	PROCEDURE	2840	2856	ricostruzione TC	
casos_clinicos_cardiologia251	PROCEDURE	3339	3354	ecocardiogramma	
casos_clinicos_cardiologia251	PROCEDURE	3608	3629	intervento chirurgico	
casos_clinicos_cardiologia251	PROCEDURE	3955	3976	intervento chirurgico	
casos_clinicos_cardiologia251	PROCEDURE	4216	4244	concentrati di globuli rossi	
casos_clinicos_cardiologia251	PROCEDURE	4268	4288	ecografia addominale	
casos_clinicos_cardiologia251	PROCEDURE	4545	4566	intervento chirurgico	
casos_clinicos_cardiologia251	PROCEDURE	4683	4695	splenectomia	
casos_clinicos_cardiologia251	PROCEDURE	4738	4763	analisi anatomopatologica	
casos_clinicos_cardiologia251	PROCEDURE	5037	5066	trasfusione di emoconcentrati	
casos_clinicos_cardiologia251	PROCEDURE	5102	5122	gestione endoscopica	
casos_clinicos_cardiologia251	PROCEDURE	5219	5239	impianto di emoclisi	
casos_clinicos_cardiologia251	PROCEDURE	5336	5357	intervento chirurgico	
casos_clinicos_cardiologia251	PROCEDURE	5374	5396	duodenectomia parziale	
casos_clinicos_cardiologia251	PROCEDURE	5535	5550	cardiochirurgia	
casos_clinicos_cardiologia251	PROCEDURE	5579	5678	il materiale infetto è stato sostituito con una nuova protesi aortica meccanica e un tubo valvolato	
casos_clinicos_cardiologia251	PROCEDURE	5728	5755	materiale protesico rimosso	
casos_clinicos_cardiologia251	PROCEDURE	5876	5891	ecocardiogramma	
casos_clinicos_cardiologia251	PROCEDURE	6106	6121	ecocardiogramma	
casos_clinicos_cardiologia251	PROCEDURE	7002	7024	Duodenectomia parziale	
casos_clinicos_cardiologia153	PROCEDURE	353	355	TC	
casos_clinicos_cardiologia153	PROCEDURE	400	439	trattamento fibrinolitico con alteplase	
casos_clinicos_cardiologia153	PROCEDURE	585	587	TC	
