filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	MEDICATION	478	491	atorvastatine	
casos_clinicos_cardiologia508	MEDICATION	499	508	lorazepam	
casos_clinicos_cardiologia508	MEDICATION	515	525	bisoprolol	
casos_clinicos_cardiologia508	MEDICATION	534	545	pantoprazol	
casos_clinicos_cardiologia508	MEDICATION	553	558	adiro	
casos_clinicos_cardiologia508	MEDICATION	567	574	orfidal	
casos_clinicos_cardiologia508	MEDICATION	581	593	escitalopram	
casos_clinicos_cardiologia491	MEDICATION	293	303	vitamine D	
casos_clinicos_cardiologia558	MEDICATION	354	371	acetylsalicylzuur	
casos_clinicos_cardiologia558	MEDICATION	373	376	ASA	
casos_clinicos_cardiologia558	MEDICATION	398	408	bisoprolol	
casos_clinicos_cardiologia558	MEDICATION	429	442	atorvastatine	
casos_clinicos_cardiologia558	MEDICATION	462	470	ramipril	
casos_clinicos_cardiologia558	MEDICATION	489	498	omeprazol	
casos_clinicos_cardiologia558	MEDICATION	518	541	metformine+empaglifozin	
casos_clinicos_cardiologia558	MEDICATION	569	581	lormetazepam	
casos_clinicos_cardiologia558	MEDICATION	4184	4197	rosuvastatine	
casos_clinicos_cardiologia558	MEDICATION	4210	4219	ezetimibe	
casos_clinicos_cardiologia558	MEDICATION	4323	4334	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	4416	4427	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	5144	5155	semaglutide	
casos_clinicos_cardiologia558	MEDICATION	5640	5651	varenicline	
casos_clinicos_cardiologia558	MEDICATION	5653	5660	Champix	
casos_clinicos_cardiologia301	MEDICATION	2419	2434	natriumheparine	
casos_clinicos_cardiologia301	MEDICATION	9192	9207	natriumheparine	
casos_clinicos_cardiologia301	MEDICATION	9518	9533	natriumheparine	
casos_clinicos_cardiologia301	MEDICATION	9988	10001	acenocoumarol	
casos_clinicos_cardiologia86	MEDICATION	213	257	insuline Lantus 24 IE/24u en snelle insuline	
casos_clinicos_cardiologia86	MEDICATION	267	275	losartan	
casos_clinicos_cardiologia86	MEDICATION	2349	2354	Adiro	
casos_clinicos_cardiologia86	MEDICATION	2369	2382	atorvastatine	
casos_clinicos_cardiologia86	MEDICATION	2935	2942	Sintrom	
casos_clinicos_cardiologia86	MEDICATION	2964	2969	Adiro	
casos_clinicos_cardiologia176	MEDICATION	1455	1468	atorvastatine	
casos_clinicos_cardiologia176	MEDICATION	1890	1907	acetylsalicylzuur	
casos_clinicos_cardiologia176	MEDICATION	1909	1912	ASA	
casos_clinicos_cardiologia176	MEDICATION	2095	2108	atorvastatine	
casos_clinicos_cardiologia176	MEDICATION	2115	2124	ezetimibe	
casos_clinicos_cardiologia176	MEDICATION	4568	4578	alirocumab	
casos_clinicos_cardiologia176	MEDICATION	5508	5521	atorvastatine	
casos_clinicos_cardiologia176	MEDICATION	5528	5537	ezetimibe	
casos_clinicos_cardiologia176	MEDICATION	5659	5669	alirocumab	
casos_clinicos_cardiologia251	MEDICATION	534	547	acenocoumarol	
casos_clinicos_cardiologia251	MEDICATION	549	562	atorvastatine	
casos_clinicos_cardiologia251	MEDICATION	574	583	enalapril	
casos_clinicos_cardiologia251	MEDICATION	597	607	bisoprolol	
casos_clinicos_cardiologia251	MEDICATION	1580	1592	cloxacilline	
casos_clinicos_cardiologia251	MEDICATION	1594	1605	ampicilline	
casos_clinicos_cardiologia251	MEDICATION	1609	1620	gentamicine	
casos_clinicos_cardiologia153	MEDICATION	459	468	alteplase	
casos_clinicos_cardiologia153	MEDICATION	3631	3644	acenocoumarol	
casos_clinicos_cardiologia593	MEDICATION	205	215	everolimus	
casos_clinicos_cardiologia593	MEDICATION	617	627	lacosamide	
casos_clinicos_cardiologia593	MEDICATION	652	661	sirolimus	
casos_clinicos_cardiologia574	MEDICATION	923	940	acetylsalicylzuur	
casos_clinicos_cardiologia574	MEDICATION	942	945	ASA	
casos_clinicos_cardiologia574	MEDICATION	960	970	bisoprolol	
casos_clinicos_cardiologia574	MEDICATION	982	999	insuline glargine	
casos_clinicos_cardiologia574	MEDICATION	1012	1035	metformine+sitagliptine	
casos_clinicos_cardiologia574	MEDICATION	1056	1067	gembifrozil	
casos_clinicos_cardiologia574	MEDICATION	1081	1090	omeprazol	
casos_clinicos_cardiologia574	MEDICATION	2596	2605	omeprazol	
casos_clinicos_cardiologia574	MEDICATION	2617	2620	ASA	
casos_clinicos_cardiologia574	MEDICATION	2634	2644	ticagrelor	
casos_clinicos_cardiologia574	MEDICATION	2657	2667	bisoprolol	
casos_clinicos_cardiologia574	MEDICATION	2681	2704	rosuvastatine-ezetimibe	
casos_clinicos_cardiologia574	MEDICATION	2720	2737	insuline glargine	
casos_clinicos_cardiologia574	MEDICATION	2752	2775	metformine-sitagliptine	
casos_clinicos_cardiologia574	MEDICATION	4721	4732	Dulaglutide	
casos_clinicos_cardiologia574	MEDICATION	5005	5013	insuline	
casos_clinicos_cardiologia109	MEDICATION	201	210	lorazepam	
casos_clinicos_cardiologia109	MEDICATION	221	233	simvastatine	
casos_clinicos_cardiologia109	MEDICATION	245	256	montelukast	
casos_clinicos_cardiologia109	MEDICATION	270	291	salmeterol/fluticason	
casos_clinicos_cardiologia109	MEDICATION	3088	3098	furosemide	
casos_clinicos_cardiologia65	MEDICATION	294	303	triptanen	
casos_clinicos_cardiologia65	MEDICATION	761	770	labetalol	
casos_clinicos_cardiologia65	MEDICATION	774	790	magnesiumsulfaat	
casos_clinicos_cardiologia65	MEDICATION	1000	1009	Labetalol	
casos_clinicos_cardiologia65	MEDICATION	1016	1032	magnesiumsulfaat	
casos_clinicos_cardiologia65	MEDICATION	1134	1143	labetalol	
casos_clinicos_cardiologia65	MEDICATION	1348	1358	nifedipine	
casos_clinicos_cardiologia65	MEDICATION	1374	1383	enalapril	
casos_clinicos_cardiologia65	MEDICATION	1607	1618	sumatriptan	
casos_clinicos_cardiologia65	MEDICATION	1892	1906	Nitroglycerine	
casos_clinicos_cardiologia65	MEDICATION	3397	3402	adiro	
casos_clinicos_cardiologia65	MEDICATION	3547	3557	amlodipine	
casos_clinicos_cardiologia68	MEDICATION	862	870	diazepam	
casos_clinicos_cardiologia185	MEDICATION	4382	4392	albendazol	
casos_clinicos_cardiologia528	MEDICATION	1675	1677	Na	
casos_clinicos_cardiologia528	MEDICATION	2449	2462	nitroprusside	
casos_clinicos_cardiologia528	MEDICATION	5333	5343	furosemide	
casos_clinicos_cardiologia528	MEDICATION	5384	5396	levosimendan	
casos_clinicos_cardiologia88	MEDICATION	471	480	enalapril	
casos_clinicos_cardiologia88	MEDICATION	482	489	statine	
casos_clinicos_cardiologia88	MEDICATION	493	502	omeprazol	
casos_clinicos_cardiologia288	MEDICATION	355	365	citalopram	
casos_clinicos_cardiologia14	MEDICATION	1962	1972	ceftriaxon	
casos_clinicos_cardiologia14	MEDICATION	1976	1985	acyclovir	
casos_clinicos_cardiologia14	MEDICATION	2667	2678	vancomycine	
casos_clinicos_cardiologia14	MEDICATION	3681	3692	vancomycine	
casos_clinicos_cardiologia14	MEDICATION	3696	3707	gentamicine	
casos_clinicos_cardiologia334	MEDICATION	6543	6552	lidocaïne	
casos_clinicos_cardiologia334	MEDICATION	6566	6576	epinefrine	
casos_clinicos_cardiologia334	MEDICATION	7068	7107	angiotensine-converterende enzymremmers	
casos_clinicos_cardiologia334	MEDICATION	7109	7120	ACE-remmers	
