filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	PROCEDURE	36	57	LICHAMELIJK ONDERZOEK	
casos_clinicos_cardiologia508	PROCEDURE	325	346	coronaire angiografie	
casos_clinicos_cardiologia508	PROCEDURE	1001	1025	elektrische cardioversie	
casos_clinicos_cardiologia508	PROCEDURE	1112	1133	Lichamelijk onderzoek	
casos_clinicos_cardiologia508	PROCEDURE	1316	1337	Pulmonale auscultatie	
casos_clinicos_cardiologia508	PROCEDURE	1377	1393	Hart auscultatie	
casos_clinicos_cardiologia508	PROCEDURE	1619	1622	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1817	1820	ECG	
casos_clinicos_cardiologia508	PROCEDURE	1900	1920	Röntgenfoto borstkas	
casos_clinicos_cardiologia508	PROCEDURE	1969	1989	Röntgenfoto borstkas	
casos_clinicos_cardiologia508	PROCEDURE	2111	2114	CBC	
casos_clinicos_cardiologia508	PROCEDURE	2116	2125	Biochemie	
casos_clinicos_cardiologia508	PROCEDURE	2387	2403	Cardiale markers	
casos_clinicos_cardiologia508	PROCEDURE	2444	2462	Schildklierfunctie	
casos_clinicos_cardiologia508	PROCEDURE	2496	2499	CBC	
casos_clinicos_cardiologia508	PROCEDURE	2645	2659	Echocardiogram	
casos_clinicos_cardiologia508	PROCEDURE	3233	3264	Cardiale magnetische resonantie	
casos_clinicos_cardiologia508	PROCEDURE	3266	3269	CMR	
casos_clinicos_cardiologia508	PROCEDURE	3785	3814	Elektrofysiologisch onderzoek	
casos_clinicos_cardiologia508	PROCEDURE	4084	4087	CMR	
casos_clinicos_cardiologia508	PROCEDURE	4264	4277	subcutane ICD	
casos_clinicos_cardiologia508	PROCEDURE	4294	4354	De subcutane ICD van het EMBLEM MRI-model werd geïmplanteerd	
casos_clinicos_cardiologia508	PROCEDURE	4422	4435	gecontroleerd	
casos_clinicos_cardiologia508	PROCEDURE	4541	4578	behandeling met bètablokkers en ARAII	
casos_clinicos_cardiologia491	PROCEDURE	36	57	LICHAMELIJK ONDERZOEK	
casos_clinicos_cardiologia491	PROCEDURE	477	486	onderzoek	
casos_clinicos_cardiologia491	PROCEDURE	678	695	elektrocardiogram	
casos_clinicos_cardiologia491	PROCEDURE	800	826	raadplegingsechocardiogram	
casos_clinicos_cardiologia491	PROCEDURE	890	919	transthoracaal echocardiogram	
casos_clinicos_cardiologia491	PROCEDURE	921	924	TTE	
casos_clinicos_cardiologia491	PROCEDURE	947	950	TTE	
casos_clinicos_cardiologia491	PROCEDURE	1753	1782	onderzoek van de longslagader	
casos_clinicos_cardiologia491	PROCEDURE	1834	1849	kleuren-Doppler	
casos_clinicos_cardiologia491	PROCEDURE	2066	2069	TTE	
casos_clinicos_cardiologia491	PROCEDURE	2132	2134	PA	
casos_clinicos_cardiologia491	PROCEDURE	2163	2175	coronaire CT	
casos_clinicos_cardiologia491	PROCEDURE	2189	2201	coronaire CT	
casos_clinicos_cardiologia491	PROCEDURE	2235	2277	visualiseerde de linker hoofdkransslagader	
casos_clinicos_cardiologia491	PROCEDURE	2550	2573	coronaire reïmplantatie	
casos_clinicos_cardiologia491	PROCEDURE	2577	2612	hersteloperatie aan de mitralisklep	
casos_clinicos_cardiologia491	PROCEDURE	2699	2702	TTE	
casos_clinicos_cardiologia491	PROCEDURE	2751	2774	coronaire reïmplantatie	
casos_clinicos_cardiologia491	PROCEDURE	2779	2786	ingreep	
casos_clinicos_cardiologia491	PROCEDURE	2807	2818	sternotomie	
