filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia508	DISEASE	75	88	toxiska vanor	
casos_clinicos_cardiologia508	DISEASE	93	102	hypertoni	
casos_clinicos_cardiologia508	DISEASE	107	118	dyslipidemi	
casos_clinicos_cardiologia508	DISEASE	138	155	diabetes mellitus	
casos_clinicos_cardiologia508	DISEASE	157	187	Fraktur på 5:e metakarpalbenet	
casos_clinicos_cardiologia508	DISEASE	189	216	Reaktivt depressivt syndrom	
casos_clinicos_cardiologia508	DISEASE	241	247	NSTEMI	
casos_clinicos_cardiologia508	DISEASE	253	270	koronara lesioner	
casos_clinicos_cardiologia508	DISEASE	305	319	förmaksflimmer	
casos_clinicos_cardiologia508	DISEASE	1470	1473	DVT	
casos_clinicos_cardiologia508	DISEASE	1519	1542	takykardi med brett QRS	
casos_clinicos_cardiologia508	DISEASE	1562	1566	RBBB	
casos_clinicos_cardiologia508	DISEASE	2810	2828	LA något dilaterad	
casos_clinicos_cardiologia508	DISEASE	2956	2958	TI	
casos_clinicos_cardiologia508	DISEASE	3007	3028	perikardiell effusion	
casos_clinicos_cardiologia508	DISEASE	3115	3143	akut myokardit (LV) med ödem	
casos_clinicos_cardiologia508	DISEASE	3463	3497	Måttligt dilaterad vänster kammare	
casos_clinicos_cardiologia508	DISEASE	3602	3621	Lindrig aortainsuff	
casos_clinicos_cardiologia508	DISEASE	3776	3797	ventrikulära arytmier	
casos_clinicos_cardiologia508	DISEASE	3896	3904	arytmier	
casos_clinicos_cardiologia508	DISEASE	3946	3957	myokardödem	
casos_clinicos_cardiologia508	DISEASE	3980	3994	akut myokardit	
casos_clinicos_cardiologia508	DISEASE	4523	4554	Ihållande ventrikulär takykardi	
casos_clinicos_cardiologia508	DISEASE	4569	4583	akut myokardit	
casos_clinicos_cardiologia491	DISEASE	728	751	vänsterkammarförstoring	
casos_clinicos_cardiologia491	DISEASE	805	825	Mitralisinsufficiens	
casos_clinicos_cardiologia491	DISEASE	827	829	MR	
casos_clinicos_cardiologia491	DISEASE	996	1021	dilaterad vänster kammare	
casos_clinicos_cardiologia491	DISEASE	1206	1243	vänstra förmaket var mycket dilaterat	
casos_clinicos_cardiologia491	DISEASE	1310	1349	vänster-höger-shunt genom foramen ovale	
casos_clinicos_cardiologia491	DISEASE	1373	1375	MR	
casos_clinicos_cardiologia491	DISEASE	1612	1624	fibroelastos	
casos_clinicos_cardiologia491	DISEASE	1947	1980	anomalt koronart ursprung från PA	
casos_clinicos_cardiologia491	DISEASE	2094	2137	vänstra huvudkransartären som utgår från PA	
casos_clinicos_cardiologia491	DISEASE	2166	2172	ALCAPA	
casos_clinicos_cardiologia491	DISEASE	2174	2230	Anomalous Left Coronary Artery from the Pulmonary Artery	
casos_clinicos_cardiologia491	DISEASE	2245	2273	Bland-White-Garlands syndrom	
casos_clinicos_cardiologia491	DISEASE	2460	2494	skador som fanns i mitralisklaffen	
